2018-04-26 06:40:16	75baba6e8b8275a379a02f0968ea783b:eitsuYI6UugHWue5K2zMlOv6WJuKMlLE	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	220.136.181.217
2018-04-26 14:42:16	4fa63c37c33a783b33455cbe6e975cc9:hME4bCBAyNo3pBP2AZJS50lovBAVT8g7	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 14:42:41	f3e3d9a978bc72722871512379a18a50:3RrUweA51sSY1G5oibUYxKJ1KXVhqpAz	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 14:46:23	cb8d0d73929fdf1e321e8adfd47f8429:9xiJNxN2uMTYqvM8e6F56CfmlU9rSG8e	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.43.38.28
2018-04-26 14:50:51	399c523c629b97b81e70b3b54f8dc74b:9QkZdBbvdVEPUFrgT12aaxjTfjkTGKxx	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.231
2018-04-26 14:52:00	ab9fb1edec25955f8dadfe02bb87dd95:hbVkYPnbmn2P6Ertbb0K0a8WOyKuxI0k	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.231
2018-04-26 14:54:07	1ff249fac577c1007b2f1579897760db:4T6FZx7oJT5PFzP9QyPBXYRK6auU1gTW	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 14:54:44	1da7ca54747559b315e3242cffaa07c4:uHq8pwk9BezCojpQLZaYlKvkNuYEVA2P	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.231
2018-04-26 14:55:53	cb0e68fb3ab3e87f391026c13752f4e7:ZOTWvqDOP1ri2MQwIVaADGmjXUz7SRQW	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.43.38.28
2018-04-26 14:57:12	0277e5c8defdafb7862e1bbb31962603:yJ1knsekiJbDZxU6hxsNjmpuoeQKaAr1	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 14:59:58	6b21f052c8c3d94ff1276f0d38bad292:UmTQ6mGMn3lcBBlO19amSkZsmakkPlMo	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 15:00:41	1efa3f60e64f95a910d794d7e5579816:6pzPHEZ9CpjMBXGOXRBgv5kRFDMdhi2m	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 15:00:52	833e0cec3bf45f0c107e53d88e9f3915:fT5wVOHipjMlQR8z0qe9gP19RiaAM36a	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 15:01:49	6cec689bf3813debc9d8a6c9bbe07c50:UZcr4LhnC0wKy8LWxvSyllG5wngrrNQI	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 15:01:50	b3fd681949822456c6d73c9dad5f66bb:RHOSMu9YD5nail57XuvDg88f3LRIXheZ	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 15:02:37	16384a877146875e6de2b76bfbb635d2:M64KBJXsz9x4qwibeWh6C9n8zTJYmrPw	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 15:03:16	26e0981449f10c8275b3daa0c20c119f:xpWcilUzhFhfaxlsChUI2MXY7c277ejs	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 15:04:43	7ac25158e411ff44ad4813b0ef15466c:r5IvQ25Ao8zEPRNY1KyZKTTZcuGWGxNf	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.43.38.28
2018-04-26 15:06:11	23e6cc43d345fc30aa717e850261dc03:KxDy3If6qs1M3PZxH4p4EWijX5alkCHu	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 15:06:18	44673de9987672ef868154e5ccb343c1:mCM9oI9qvr6nzC3hnRqDRztbxB2rGgMJ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 15:06:44	e641e2558bc1c9cbb1d32aea79214ac0:3ZeasDcuVDuJrk2PGMCgl43LFIYYSMLl	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 15:07:08	8f161b67fed8fd5608c2c9ab54c6fe1c:FYxErzAL4Zmd5iUZvI2z0gs2ercZhL60	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 15:07:16	9eb5d61372261737ef30256afdf5c3c6:LTeIYr53qNsS8sbFgYADJcORiIaKRMmD	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 15:07:40	4d3dc7f43f2ef5678088e60999f9f9cf:w0bc7orP2ScAtChmupdTit3aiZYZBbMO	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 15:08:02	120505f7e6582829c5b5a36c0348c2dd:dr6Qqq4b29jovgg2RBZt8EkoESBM6E6J	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 15:09:04	952a5563e01818cf159a138362a20f17:jLQofgpIHInDJh1Zwbz7wVhFFmtUJN5B	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 15:09:20	07382f4711fbf48edb8a4fc87ba684a3:d9r1cyiwJaQZZ1085LPeX8WEZrYHzcMd	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.231
2018-04-26 15:09:40	a5329856b11dde9ea96cee4199fdc390:KB6uzj8jom4cjvLNaSXHZuCq49V03bqv	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 15:10:59	74c333c109d6e078318623291196aded:7tGIU3yCxuUHM4cJ5BNLB3gIxyEb9cVy	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 15:11:10	1797d18e709c6a356c09013956383cc8:ep9FZdH6pEgnrsxlrEgeFupxMdm38EnR	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 15:11:11	552fd6e0f475c7df24d2653b3f9ca78a:v4hrYum2cO9BsGwfMGK55Q7OURTOmXO5	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.231
2018-04-26 15:11:52	61152fbfa4d1c96ea3320a0b1d352002:r2k6Z4GT38pD2PWzbeho97rtUYK4z3AK	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 15:12:15	1905729630316de109ecc0f757c8d021:9XZ4byGxVEZ047NpnoRwIF3H1xR2xnOs	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 15:13:28	6793451dfb4318253f3aefd354e1b3a8:teME4LWnP9oqsWW1OmroYNeq3of4dHN7	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 15:16:06	f3fab5a2b96956227edf671cb66ea60f:MxCF2iK2WonXdvxIGX0EUVPzyzfkqc8L	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.231
2018-04-26 15:18:08	c71966cf15be9be27696ee56615660bf:H2Ok9assEn2Wy7sh8uSKHODwLP2Nbhhl	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 15:18:58	46fba6957783264b0f61742b92d53852:JbiGt3gTbSXX7jGNf3wgG9sNmm0EV9SL	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 15:20:25	41b45e346c84c10cac76f90b8e7e0030:pN7LfAHiwgFEefab1lNb1OVlBqVs1F6n	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.202
2018-04-26 15:25:02	55f3e6dd9b9e54439f8a2b9b2c92e5b4:m6TU5VoCTnu2Yn4KUp3kL1r1xD7lChQw	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 15:26:25	3fa005118252fb947ed4d56313bee3eb:RuBDjV6KlsjTvbe11CIfK528RHZNSwCB	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 15:26:52	3618e2e0803c6c200b992cad03ea1519:1m7dUX4heARF0vX7wNeOwrzovEXbebQQ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 15:28:03	afc13e96653c8bdc2a9cb58446a07060:oDAmDmtrMJWC59NxUBhJdP65VzLDNXEA	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	172.18.97.231
2018-04-26 15:43:31	e26370b3935126d4db0a8a43bda07e69:pEN85xM4W0leaeu2Bc51sxxRZ3QlcHiC	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 15:53:56	a7768967795a485353e9c6b25737a960:2cChm910nxnFXUcj9Kx36klcxVRuakaI	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 15:55:15	79c4ad0a050bd32853213896f8241cf7:IOT4kdjAlJDLQCIFbypmF8F503agv3Wk	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 15:56:11	cfc3a9783df1c46bcd76826001ca38ad:kAM8dSntQUBH9xLvmXT9qwFmwJ46kc9m	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.32.71
2018-04-26 15:58:00	445be95b49673dc1cd01ea6ee634d80a:aXCFy9O6erQzVoyI6DACIT2D7r6D7OeA	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 16:00:48	640235cd67d765e3dcb662418dcb650c:RbiJCurUEnvxJelA1G38L5DXlniOoaXJ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 16:02:20	deaea53dcdf50aa147e61b4564101ead:mcM9tukXZF2GZz3Tc11wQhF5z5h5KTgC	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 16:06:02	556caa7590a243fcf372ddfad050fb6b:FbzIsNU1wwEIdohkwwAezBS5fe05BsY4	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.27.95
2018-04-26 16:16:21	c89d88f7c2afa0190006234dd7c9ca07:OeSBJxCPqteeNLF9DR1SOGxmeymfSX2E	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.43.38.28
2018-04-26 16:18:47	18661ddc0dc96555929f399a47564121:HEfXSxqICaxHmLlMRanMm2yqhhawDew1	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.43.38.28
2018-04-26 16:19:58	08a2ecb9eaaaf85232de39ef10c3c617:1xf4lXUtOru9WsELJ4WPWkKlyAfUM1v3	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.43.38.28
2018-04-26 16:21:25	9f167b54611614e9be078b95828cfabc:azo9IVU0GMTCVsQMB9gkr3BgvVgejRTT	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 16:22:13	3ca1a4a3f92afa953042842869ca8b0a:9fRLZkTCtobXotDlLXd34ZNkzZf068Fs	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.43.38.28
2018-04-26 16:22:27	25472ad0d50ca0532ee92f24c50c33f4:NJS9l97qL4notzoHDblJJaJCLt46JQOC	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 16:25:23	6d85e1e8592c2aa12bf05bbd59519786:SaCmtklNBGVXAYD4bHUj1paAqeUO7HM3	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.43.38.28
2018-04-26 16:27:43	48167faab6e1610fb0211bf2a023df23:hUxyOFNhF0Eifmlr9jPibGRWfIwP9oA4	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.43.38.28
2018-04-26 16:29:01	95ba292303f2fb79cf5165584986b70a:jVoQ25EMszrKtLcZoeUGpMIPyN5JzqFl	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.43.38.28
2018-04-26 16:30:00	cb025cd088890bce6cdc58d985ece706:wrMt37EEKWRHomsBpmzzA5mPt19uUBNn	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.72
2018-04-26 16:30:57	ed952136fd0e9c26ec3a3cf76b5b614a:Px10znLm68trUs1YjUlPMJckGzVrikUe	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.43.38.28
2018-04-26 16:32:18	cca39acd636397e89502207c31d57a45:Xww3i1FzAbfzN3W641ZYG0p6jkJ7qoKu	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.43.38.28
2018-04-26 16:33:26	37286e6129bb10a71340dba132468a8e:QWiMhMTRPhROqvR2WZvbt7sCRdZwvwAE	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.231
2018-04-26 16:35:04	add410f8cf0ca9348fea1a5160ccc0b3:5kTmj9g19Y19O3CkRf7bf01MX0nTNPmz	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.231
2018-04-26 16:37:36	aa4d13e47bb92b5b18de04f18f31ba97:zzxIHUkmTJQtjyWFcOWbOlW7cRwsXU3t	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.231
2018-04-26 16:39:44	98c8b40ea868f99408cdfbe08a507475:47yCM2j3Zxfgv2InyNm0KDwGxBh0KWgw	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.231
2018-04-26 16:44:33	56816163b005f8e47e8bf333cd4dec77:0JAopsMspVmj9xHKiD5NhJhnouFWnRnW	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	223.137.192.24
2018-04-26 16:51:22	84c8d1b40883cbc891de54fcaffc5ef9:XMLDDFkAD2yc0ThzobmnjPV5USvgBfPh	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.231
2018-04-26 16:52:02	fbe7f4e88accad60800f10b36e2397d3:79rfWW0l66hKXH9FLc2xYz1wMzRcr9jq	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.137.192.24
2018-04-26 16:53:24	5cfbb6bca612e40da26a9c5a99cf7e4d:QD21aEe3mHigyWzYmHBmoIJ0JBY9Mp5r	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.137.192.24
2018-04-26 16:53:53	204a41c711df4e7fe511acd08a844d31:ZVzAf5Pep9PkmBRpB56LuV1ttrLpBlD9	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.43.38.28
2018-04-26 16:56:55	dc1ecf5d5f789988ed45c17b31e7f000:GO6ozl8tjIdd24xIXb4ZnGj94Xz96Ggy	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.137.192.24
2018-04-26 16:57:08	aeb35ec608cfe94387f76d43d4df3e88:4ya5r0UBuZyDTZmgrpzm3gQhY663eMNg	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 16:58:06	2990518e75d740663e152a2dca018a1a:KJqYEgmpLHIi90kAq2CDxSXli8CvS1Me	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	218.161.40.143
2018-04-26 16:58:29	4bf6724efeded5fc3a56d108a7a50f10:FDKsQP39JfUq6aFia6XpuIWTT9YINiy2	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 16:59:40	e7501eeb974ee5bfe153667dff3fd3d8:JSbdb7weSONMzBbJio9UGia61hTFmQp8	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 17:06:23	8fa26be61ba670ddf61e55df76fd8524:SomAg9pLGEHu0Vip4yNgyfgy1CU9tScQ	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.43.38.28
2018-04-26 17:07:42	2ba63671b3aabe240e19192ce5c5c5ba:6bfqT3JogGeaFJpUtA88hNZeOXmk0EHl	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.43.38.28
2018-04-26 17:09:58	8ece258ebe7f624b093533e09c3f65d6:ftitAjlbcDLLoFGMHqKjxJg39LuCWyJF	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	180.204.148.163
2018-04-26 17:10:23	c0b4a3c0e345d8f1ef9b9e8004481a09:m3l8qBKADpTXOSs5ijBy9HlgzDl2sqFB	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.43.38.28
2018-04-26 17:11:22	8c11f5722206ec6e1d61531eef97b694:BlRFkiwOiXlvnu0QiqsTNVpglpkSzhnQ	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	180.204.148.163
2018-04-26 17:12:46	50449b704eedee43a79a7085888b2112:k90ekwlaqy4h0CjbIAcKniu1J884XzDg	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	180.204.148.163
2018-04-26 17:13:10	dccefaa35b557bd44ea16102a26d0af0:M0dGLnbSEt4OgeaUmiCeqCd0vf13blfR	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.43.38.28
2018-04-26 17:13:48	5c83d493b18ab5793a2d2079764db9f0:Jpb2U6LNZ892cI90ho2hqHpDMuu3dojR	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	180.204.148.163
2018-04-26 17:15:20	f8326ffa7ba99c5fa0d848a2d3f4d9ff:0ITP517YTQGFyNzIllzDGCOIzyTXzX8s	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.105
2018-04-26 17:15:57	75db370d0f8027504313b85b0fee6122:qB3VIH6dQm9PbsE2IRCC3D47KoVq2OTH	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.43.38.28
2018-04-26 17:17:02	3f6abe3c4841518f612c28c49a584351:Q59Is9SRdk9Z8LtS5tIx7piuASfRkAtW	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.43.38.28
2018-04-26 17:18:10	624e5ed232ff175e278282a115fbf2a6:54clGpuuzzQIXph7CM6SWKpxQe0D1zz9	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.43.38.28
2018-04-26 17:19:17	8c11bc2b498e6baa79c5ff9823b4c285:lrplZfjic7VyBYzR0ojlfZs7SRs80tYR	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.43.38.28
2018-04-26 17:20:10	a972567f64cc54558bdf29f02446f6c4:qXCA3gBXhlGYO8FtCCvOmLiaHXKJgSnL	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.43.38.28
2018-04-26 17:21:16	f758ef525872b15120a1ca8467b3a8dc:IPw0Q3mfTEhjKdNS2RoIhy1q0r2pwUa1	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.43.38.28
2018-04-26 17:22:20	8c24b22094903db3b402ae55f2893a3b:psoU8FSGIT8SzVl9GYRepCUXPclsAjIx	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.43.38.28
2018-04-26 17:24:52	a7ef36d0a52b1f55a31433a5c83cbb3e:3XZd9EFZZXBh1V9LdgkdwTOKBwO69BmN	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.43.38.28
2018-04-26 17:25:04	0d2587fb26b11a41aa101456cc762e31:efaQXkNtYHTzyvXGAozq64X6ukIaSiZ3	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	180.217.96.231
2018-04-26 17:27:38	86bae907aa901c3f824c2ce06c6d0b23:jtib423sY6corXsTCva38l2pHi0IVeHC	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.105
2018-04-26 17:28:34	7d7bf412858b00bbe93836e953784cce:Mik4GT0xugRzXlx7fK8s8KQ2l2sXTHPs	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.68.54.105
2018-04-26 18:02:19	7cfa3c5a47d45464522912a74f973f39:moNL50WdqlRumm8pi7wA8yss9IV8Rnmt	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	210.61.141.169
2018-04-26 18:14:29	deb6f3fdd3a98a46c3bb4cfef66deee5:yAFAbYNAynx01NrSHrYZChpFpdlihoGV	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 18:15:54	abf3acb04a67d609a2abc29b90ac09a5:AU8XsGXg4etQBHJMY19oGTenSjlo7uJn	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 18:17:04	195d846f73b1a5993e70c0381d1983f0:Kx7PXCYOfCFek6jSe8GYA73xhPRpu5o2	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 18:18:09	4669c3bb551967b162f3aecccaaadbdb:rTao0KOeAJXZ4Qnw2w4cAiM8eMZM0FH4	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
