2018-04-30 01:16:49	04d2572538d731ac0ff015e8ea0650bb:fbMJvfwRVa0IL3ut2PO9SkXZ5Rf6UcGi	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	115.43.118.29
2018-04-30 08:48:21	e80dbfdd87288a710bc81740d216554a:0CNiUgcg27LgEAqxyI8B0M8eNemrwPaL	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	117.19.240.235
2018-04-30 08:48:29	7bdef6d61f9d6224025e63ccfccef00e:u4Znjl1CD8rlmeI7i295ZjoT5E33WODw	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	27.246.192.98
2018-04-30 08:48:57	89cbb7c8597b7ac3c297d712f9eec2b9:wvwZSbpBL6Dd8QGk2IIiWFox19nNyIjo	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.12.192.185
2018-04-30 08:49:05	537717dfcd6915431b97154fdb3dd3b3:V88uRgwRmPERZScpkUz8m2pw16I2SfXd	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.137.208.112
2018-04-30 08:49:23	5768c8667f5f257724932b31130f4604:JjmM4jIwF2CFI0OSRU0Sdr14Rb1uQt37	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	117.19.98.84
2018-04-30 08:49:24	d5551309b53551ba2e1234ee681d1233:1MH7E5NnoQIKWuQSbA1Yd4WIUbPiJZMO	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.136.241.43
2018-04-30 08:49:30	e1be306c5d57e2046bd8e0f66acf3c2f:m16ebSl7AH0ehYrJhfCqhM2e1Sma8QnO	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.192
2018-04-30 08:49:48	c8f5a22876327742d68d62bdf9f27645:KVdQc8eBIC3VKc1xD26gFeLqftDMY4y3	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	223.137.43.191
2018-04-30 08:49:53	54cc1406727d9f1cc6c133e2336f37fe:cfQNBMVjVGXeOUqPXMPNmWCWvzdpOuYO	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.10.11.188
2018-04-30 08:50:07	42cba6aa428b094e9b9986c2f60a22f6:4fxERf4TJfZRTWuYHBXoqjGpXjUHPmV1	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	110.26.161.137
2018-04-30 08:50:17	73b4dbfa77d996cfc908937a2410730a:BwriOTM8J3NZDJCVohMTKWVmd3H2FZUa	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.137.155.94
2018-04-30 08:50:18	cd1ac774488e6f728710a93aeb3aec2a:Xksdu7Njggk52JJFNxgmAlFQMaW9fsfr	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	101.15.86.194
2018-04-30 08:50:20	75491434beab1eec8de7252f24546975:jCiOJqZc0fEUkqY2kHfwOwNVyorpkQgO	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	180.217.148.51
2018-04-30 08:50:20	7c4749d25b71670430921221213f1155:ImTxSIT9OeP2V47aeMALozcadWKVSaw3	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.9.144.174
2018-04-30 08:50:33	1bdf863890f1810f5fa9680fe6d2b9ec:KHKlJOQelfe2GvelvfGhTkMyvKIVONr3	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	110.26.166.63
2018-04-30 08:50:40	4b2b95b6235ac8048b6572ac4dba575b:m737ZfYcXhdlWgHtaQA6AZNkGGsoDWRV	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	27.247.109.17
2018-04-30 08:50:43	3d00958b76d8bc516e09e6d3aaf3e192:RHgtTFZ1AlLimHAY10qTNPCiT6q9ALRS	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.137.155.94
2018-04-30 08:51:05	74703f221b7f94249a77e3468abeacb0:JXRP4qKW8hGwdn4EcyDdH3992Q8WYBhL	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.15.130.200
2018-04-30 08:51:17	cc41283cb346854e1eeda1dd7036c594:MICrZEdglBRWNyefpRG7m5BISzLHQfPi	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	223.136.41.170
2018-04-30 08:51:23	d9e38727e5d86fa43a7d6214b8aa4ed5:HOeEHbIhaUsaxX38cpDu5xwlJPmBpIOD	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	27.242.41.90
2018-04-30 08:52:02	a96f1e846a4ee522b77a8aa1fa5df01f:3eGXpVXxgUyzaWTV6rUSLGJ9OC63V2bi	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.192
2018-04-30 08:52:04	1894d2c0f051520bfe8e556c35d8c17a:v9dSf7hUyuZu6mfyXSXg1ncUJMEzmVZZ	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	27.242.37.146
2018-04-30 08:52:51	6b18e3e58b24569800aa6409b034d021:CnJ6NmANmwNSixH7C1e9gGgSfXpnOvUy	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	39.9.224.143
2018-04-30 08:54:32	e565e1bcfd73a3cb3bb036e47f5ca2af:7HvnKPlaGxKLVp7imHjeZYbh7OCnNRWY	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.192
2018-04-30 08:54:37	44e26ba3ebc8a861fd015c848ea14592:FojIXcD6FPOzAJEAQ5N9Rl5qHhe0IqKZ	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	101.14.65.217
2018-04-30 08:55:00	94d09e03ee4104c0254b302d6bcf2740:DLDoYPgResZe2hiRFf8EAWCnd9MaV5LO	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	49.215.246.139
2018-04-30 08:55:06	2e48ea08267459845060dfa8fea0437c:vxzSgJgJUd98mvSToHm68VP6UVJOeSqj	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	27.242.224.149
2018-04-30 08:56:12	e27ece4ec3017254cee00fd554b8f834:ghjAGMqDepOPX9C8sDo0eUEZRgAxFba5	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	49.219.145.215
2018-04-30 08:56:28	875d39bfb63adc33326e72d4677b4187:XNWdYeJVAzJZOxItZr2yW37hJGarWqA6	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.215.166
2018-04-30 08:56:34	d6c061a88992fc3ed5e8450e29af4e61:23sPxsTEDqvq8NdcHAGoLFwJSLsq7V1w	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.76
2018-04-30 08:56:34	ed1ce092ff8f3b1b97e04a8320339b1b:qdZk0P0nrtntQo2snKNGM1jsPYBVGme6	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	110.50.135.211
2018-04-30 08:56:43	6510c0a160d8f2813f1bbc1eaf66035d:ijFtDo500GpACHrOGL9SgtQqJUXJultV	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.192
2018-04-30 08:56:44	3a7d66f0f20e45dd9eed640c2acd0639:BWXNwTXbx0ylPHcWb4KC2Y9cdKHyiWza	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	115.82.49.121
2018-04-30 08:56:53	81ab3278654c6ab38a22fa6db551699b:3A6ZjexisfQDHGc7vvxRXZ95yqawC5LU	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	115.82.49.121
2018-04-30 08:56:57	da4894eebf0cae7c143561c8ec9d4b04:gdoBsBhof9cPknX6K6q4Sdg6pjtvuXXB	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	115.82.130.14
2018-04-30 08:57:12	4bf7b5de55d84a0434cb1d0c410a088f:iiOQWpKKRFrJt5PiXsNZ14tJWzQPGknt	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	101.12.208.158
2018-04-30 08:57:18	26039fe5cdbcfa8ca72ae6e9394699fa:ryNSrN181EtOwxKpnlagyiaDAbMupEvi	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	27.242.75.186
2018-04-30 08:57:20	94772e6eee47936a90667beb85172388:E1jys9JnBVvY9Y3NI8QpKFqFgRn6cVPj	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	27.52.132.152
2018-04-30 08:57:21	8fa648665a80f55b2223ca624a91153d:Ernqxu7QoKGbLXwAxRLFzfe6yuZZwtqb	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	223.137.220.205
2018-04-30 08:57:41	bba26f7c3b09a4b331cb07b91f81ce4b:QTHarnSNAsdBla0YRyCf2ZyREBPxTABl	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	101.15.1.227
2018-04-30 08:57:45	f5143a9b01d6988b2c2fe7bad60be31c:BlrZbmNs247sFfciCBCayudKSJpflm8g	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	39.10.131.153
2018-04-30 08:57:45	f1877658ffa1d87772657232044c2019:Bp5Qyd29THgg03EJneT2K5VIHIVxh5E9	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	223.137.230.223
2018-04-30 08:57:47	bfa9c0ccca6bde0cba900d4e53c8333f:nZoIWf0Gwhh1WiOEXmpVw37jkc8YAzBp	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	180.217.156.6
2018-04-30 08:57:58	25a2f909a91620662049710e3564ef3b:yoh1gu3E3jqpFxVA79WPlHdhxVdU4wAu	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.137.58.82
2018-04-30 08:58:09	b9a5aabdd546f6addebacdd3c1b75251:DLIoNQ37WsIeVmSj7TMl3L8SSSaHwFRa	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	117.19.115.37
2018-04-30 08:58:19	467cfa4ce014ccc29c72e1446158b242:RItCBvqBxUNJQFWyZ8tHqdqe1hRfdUDX	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	223.140.221.98
2018-04-30 08:58:24	90b72d0d1afde125daa5b6b2d88e2267:pK4obenBbE3W0OMnnZwV5ff7dgnYuEei	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	115.82.132.89
2018-04-30 08:58:24	5988d74420fd4575d4a7ed7db330fee7:h9OwhCncpikbgnnkWEvnX0uGetg4gBUz	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	39.9.234.58
2018-04-30 08:58:31	a0d7ccd81867db6145ef24474ce6ce8d:vzy60kJKuF4DfkevTfrV6mdb89mBG4KE	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.12.195.173
2018-04-30 08:58:36	9ea1e1d9f075c31aead6e667cfd4aa0a:1EnCmESSagLxDOme6cGHuMcLDjqz9RXv	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	27.52.101.46
2018-04-30 08:58:39	34cdfe08ec98c10974c0fcfb6a316af7:RhoXLgh4vrwNoGedxtocQ7z9mrCmqXC0	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.192
2018-04-30 08:58:45	e6d94e9b7890bc3c0d3ee3e4aa023b1d:JEfZrtxgMnASrNz4jhXy6Akb6DLPxPr8	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	49.216.199.252
2018-04-30 08:58:56	ef42d140a4a735e43edc6a53c21f23c1:KZZy5Qi74EamiQZGEWBN1inNSPkssvVI	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	110.26.43.27
2018-04-30 08:59:24	a0374c05bf350b9c296bf59a26ed3828:eUj8LI58R0LeSyEJ2wNubZX2CjoNQYXr	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.199
2018-04-30 08:59:57	dfca7579871705d757ce90f34d57744f:LlzsZcF3EyR4oKaJQV0PM16G640BUyXf	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.76
2018-04-30 09:00:06	cdb65cb6d97974546b7c98961d893b1b:xK4Wc9GIBA8DBRUKQz95TgNFmLqA1HPj	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.136.230.184
2018-04-30 09:00:38	0b46fde712fc31d1f992a325c52fe2ed:mAflW0Jbdrtzanih8zW4CqnqiuZax0qq	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.192
2018-04-30 09:00:54	7b296707b685076e8ee377a3399ea6ab:6tAoYCSw4MRRVqszOfqyI541iZK3Kx6h	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	27.52.36.62
2018-04-30 09:01:19	38284a54624456928e7d3693258c8f67:F9Kpto70jv3fYxH0coIgu26oFOLBgSzk	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.199
2018-04-30 09:02:20	e700f13f892985d743b9f605fec1854b:TsOZMyHWdMUJImxZfXX0ooWPvjCs9zW0	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.76
2018-04-30 09:02:23	42e7cd9a08906843d0df5bd47cb8da44:37pwAc4GC7tmUvjx73aBUdti51JjqqBf	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.199
2018-04-30 09:03:06	52a3c17b0eaafa9c5997678ec82e57a2:xf6X6Cfes0ZkpaCSIW03jPjCNI0aPLof	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.192
2018-04-30 09:04:15	8be8089646636e5fd7ba55c9633a6ae6:AYw0jzugJvFc5VwmzpSbIP99e3zrNgcm	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.76
2018-04-30 09:04:16	9549440a764208db54b638f8793981ef:osiei0SUItRnon2AP4xu1zTccqQ40zg8	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.199
2018-04-30 09:05:00	6a79ab2e5c3303bb6a04255cae164a8f:LAiXWax1RspQoN4HBruuHs16Pcn8eqFy	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.192
2018-04-30 09:05:13	2cd360918885fa04a68af8334bc983de:rCJmlIDKz6cf5EOU9eSKaqLhg34ZmBuh	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	172.29.177.76
2018-04-30 09:05:42	3dc8d6841eb6c578292eb276a49ba2e8:KJtv9kL63D8AlR5b404E2HK39GRuqWyt	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.199
2018-04-30 09:05:47	3286049fb53e05c3dcabecd8635584a0:pV2IwpFSoXYYykQVJi39BPZRYA6LA4Mv	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	101.9.193.174
2018-04-30 09:07:12	8a41f641f1699b397dba1dd21b015568:fzVVTVkkl7hbhiycS0n86c8Omqsa7E7w	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	39.12.69.216
2018-04-30 09:07:16	e3b42f9485b548278711d4172506f4fe:VHZv6bZ4rca63VR8BJp1E5P9NdfTT1lN	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.12.194.201
2018-04-30 09:07:19	392d23de669bd529528a18a32f09d3d1:fiB2gXHOq09PZB44MdR8jZK5VBTd6HBb	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.192
2018-04-30 09:07:51	3f84bf550a9c012079a1c719c28a5f96:ThLaUQZDmrIRv8DYipVOCe9DkcDwcPbj	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.199
2018-04-30 09:08:04	80a38908ec1b8ad28347371b0f9dc82a:OS70cXR2NsfjLfbUdf0dj2dZGnfYDIwe	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	101.15.34.151
2018-04-30 09:08:24	96611c8d52fd2a5d44411835d0e6fcd1:oJAACkuAIzTsWXlfoTun1SbF1M48xkPL	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	110.28.36.38
2018-04-30 09:08:25	077995aeb27edffbf1dc23dc7589334a:QRZeIS0PEmbHpjBkIJ3CpfPvJMFkWWpu	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	27.246.203.122
2018-04-30 09:08:31	c204d76fd17fed74b63ac7cd6edd6f32:tg6aRaMfNuvBTPqhuhPfLzlrLds9f3Ns	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	180.204.56.73
2018-04-30 09:08:32	6fb4eaf6d742a04326decb7dc9df37fc:B5Ju2FyCkKGMrz33H5jXD2a39bSCABZt	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	101.8.152.140
2018-04-30 09:08:46	77066c533d58bc2d2a88f465181a96d9:ACyVsX5bfpvoc5wfk1iDZ4VACYVOezfL	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	223.137.238.187
2018-04-30 09:08:50	7aba9c062ee0547b96bd38556ce3e5bd:Aaayl5rmeRhrbbyOK2IaG9a1unnhaEuF	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	39.9.38.86
2018-04-30 09:08:55	e6a184cb3d3430cb91cee7cbab2557ee:RgBcma6sZCHWfdZ9MpspYtPPzcujjGs4	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	115.82.192.42
2018-04-30 09:08:59	87ed28bc06979d52ce894758aaa5cb1f:3xTTDx0H0iAjycd3zFLLa1fT43HMvxns	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.75
2018-04-30 09:09:02	aa2f11c7c23ea31cdfa2e887cc21f8e3:RR8besXnZga0eVQKEBb2TSP1WHiObJVG	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	180.217.84.32
2018-04-30 09:09:03	a74da5a0e601891c3ca84402e2ddac10:x0binm8oXMglXEknhani6wSX5VjVxbUd	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.12.50.49
2018-04-30 09:09:05	1b130af9b162a92ff82ec5bf490f3c5d:yh0v1dSLGsYYLHXj9DH8exuDnhxCLvbm	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	180.217.136.99
2018-04-30 09:09:08	d85fe4b6c64316212808878b46073e03:0gSjglaLV8r1dOf7YljlFaCYcazQzhQg	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	39.12.99.192
2018-04-30 09:09:09	3ad3e92c5ccf8ef863f8125e3dcf401d:HeODAVDSqjUSwx5m8QxkgQNdinMXXLw2	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	1.200.213.198
2018-04-30 09:09:10	a1f44f5cd16c7f6b5cdd3d8760779a38:QoGVPG8ylVDS7LRrGGgcmUCHcwKw1749	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.14.164.217
2018-04-30 09:09:21	f6d6a73b620ac4909ff83a4d556ea038:JwD8Jbi35wPmQPwhl1aUxOzZnD4Y6lld	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	101.12.50.49
2018-04-30 09:09:25	0a605d7a71eafb23d02fe7a7e7886404:pukcTgXCi9t4is2sdyATiMHXkPbWefBY	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	180.217.93.240
2018-04-30 09:09:33	b8271894c77bd66818701f7fa778b75d:kATQJRotf77e2e7F3TlrvjBdkefekt9Y	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	39.12.69.216
2018-04-30 09:09:35	137bf037462cab12d85e960cb87ecf96:to0rDPckxcqVxcKlhEdlIMgMyIJvu1KM	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	223.136.50.182
2018-04-30 09:09:37	3d47342daa454c53bd7a9db0dcc8879a:NwkTAXea3xoFAEFlKnTcn5J4QYfr7IE1	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	27.247.68.46
2018-04-30 09:09:39	174d987da7fd9ba79fddb43ade63dca4:3VFkbLzYXMxOVn4VOcNQt845BuidY0OG	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	180.217.170.233
2018-04-30 09:09:47	007a2e8d6983713797c2c993403dbe2c:KGTnWTNruYJRYrO0WhASL6hg5RReM3f0	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	101.15.240.126
2018-04-30 09:09:48	6d91ce6af87a75cc5cc4ab48ea6f4245:J44grKGwLgobWIaxdhFMA8Dg9ehwMd0G	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	117.19.115.0
2018-04-30 09:09:48	370c3c16503db34980a6908303c1102e:Kv9zkPVDFuFxIzaxTJ7y838EOs1O7RwN	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.192
2018-04-30 09:09:59	e503cf13a18d8fa29c82f7f508ee3fe6:O9fl2CXLBrxYq85fVXqqoPUYGiYDf3s8	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	39.9.2.15
2018-04-30 09:10:03	5a8ac7c0dcc9d15be4cb4123b8150a6d:ba3uRmosvJxhGY4ICs7jZPVFxCMCKLoT	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	110.26.201.225
2018-04-30 09:10:38	335be4e36cd46ca18643ca6f77935251:0NPBcu2bkLEi0bKWM7bVZm4zuEVWgiQQ	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	110.50.152.153
2018-04-30 09:11:06	345ae14173cff37bc9cdb20469936b43:nbMoQhD4SWhh2UWgJFQmxrt1eF9g5XtI	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.13.66.131
2018-04-30 09:11:06	05ff59ad801ea13c4da11ff2f3740c1a:Cy9cVf2Q3MM9mLU2FvJtoQ8XCIjbCY9v	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	27.52.32.117
2018-04-30 09:11:37	ea8463cdf2496d38b7d62ca156c4486e:igYXz1iThl0IcmRf7HZ0q3Y4zqp27WHR	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.192
2018-04-30 09:11:48	a75a6434eabc1d9f0b027d2913ec1da0:YLnkg2JzyBO61wtPl1puzA8k2tAaHdcG	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.8.178.46
2018-04-30 09:11:52	398e665fb7859b5f977958ff6df6b7b8:K3E0kVXfHMUPzWZLCxcjNrryRKCMQqLp	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	1.200.204.194
2018-04-30 09:12:12	5345beaa11f0519e4cb39e4fa57cc2f8:mND6h1cd5dJDhtOI6XqvGFagio9R6vaK	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	101.139.97.153
2018-04-30 09:12:51	e08e3b2cb3976caa0c031ca67443d338:NRRfWT5X2uE4YyLPLVX06xd6NPFCKaMx	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.13.66.131
2018-04-30 09:12:51	1caaa716c48b009c3d4aebd35345ff2e:U500lfhpyBDr3d4vhVqafJX6e7Y5TWw1	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.199
2018-04-30 09:13:06	97c9aa36cb80f1f6721c67178616070e:Ihrpa7bfnKqMNqDZcI9ktSkcXBsxvejX	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.136.137.15
2018-04-30 09:13:09	acb2dd40750e5d4680d0af9e2164fcab:PHbkkl84T7eFmxbq1KQwhHm3FDMRt414	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.76
2018-04-30 09:13:50	2d7c50ff0298c911d8af50a4e85df95a:RNDNxH7GBfCd6D0n5D5T1DFBPIaJwCeV	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	42.72.201.160
2018-04-30 09:13:50	ebc8a34b10f6b3b9b68faa0dc1538146:jgv91THHmh6vSc2bxu37xemgsQWVqFxT	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.192
2018-04-30 09:14:02	fdb3ef13423ea54a27dde3ba8788b6f9:IkfpTNbN3z6GN5WLd4IeRblhprN9DK8o	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.138.124.51
2018-04-30 09:14:04	d3caf3e173ebc02d2ed88611730965e7:HiFl7B95tm4GScsCt0NTsEHZRrgDGMud	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.199
2018-04-30 09:14:39	bf5546a8dbcb60032a1d2df6b5b58945:g03mqDogPWbqitTf9ixuNlWLoeveBp7y	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.136.137.15
2018-04-30 09:16:30	852c008210dbff15aa7c6ea998a087b7:3Zk41gcNMfgaDN841KuJLMKl9I2cORHE	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.76
2018-04-30 09:17:10	28b88669932593bb55932d2c7252be3a:uUPeRz4eYZdTfz1euu2SHJUoY2UzHqUp	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	210.70.130.160
