2018-04-24 01:31:14	5230c48431801711493ee69c7b8ab2df:1AZFcqRXi7MPkcOtBdJuWSGuQe88tGl9	Q1:安養平民化	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	42.77.137.8
2018-04-24 13:39:42	d7099d2211a3b44607ba12cce5321643:2ZYSUAjuURbNlmnjG504S4Eg6dINa5OP	Q1:與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	223.137.94.193
2018-04-24 13:41:14	5549d4d9cbe14d4da7d2fbe2157c74ea:YvOwiFonWjOTxbnDS7y843qpW5edtdyW	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,風華再現通化商圈	,;	117.56.49.126
2018-04-24 13:43:04	21802c0f86d60ae133be9c180f3a05df:VSiXctfsxmqTsr7mnHBxa36szJnJ5oY5	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	114.136.139.124
2018-04-24 13:43:12	d88d681dcb2083b7e6affa8da439dfbb:wQ3GWGqJYKsXtqSXY2iqrY5KyV0QTwCr	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,福州山觀景秘徑	,;	172.28.19.11
2018-04-24 13:45:20	9db02eb6dad5e4e8626ae25c4d00fa33:4q3Ds3M6G7dbp8h8MCW7rp8JzxxtfjPY	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,福州山觀景秘徑	,;	172.28.19.11
2018-04-24 13:46:33	26248b8d51435405380c4042bfa87f3f:KQBp8XFh920y5TFL7UmwLvSqJCEiWI2I	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-24 13:46:52	77c894660b6d1ccd912bbbecb257dc0e:MvuQRTPIJvS3PyHLKOKzgwL11bPPLrSj	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,福州山觀景秘徑	,;	172.28.19.11
2018-04-24 13:48:18	6b06451f0b42491cef4254f175833c90:RA0LKPpY9m1C8vThjqrYiXGPw8diIXMg	Q1:米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-24 13:48:57	1f234a718c89f406fa34ea0cb0341113:gYAD6NOoU2o0xt8vClzCQs829JY2SFFS	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,福州山觀景秘徑	,;	117.56.49.122
2018-04-24 13:49:09	3bb2ab6ddeff5ee729421ddf449b444a:p9fANVeo6bEclFGTqpZiYyqF1dYvH6Ae	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	172.28.19.11
2018-04-24 13:50:39	afae8e037091defdd4f6971bbcd8e2e6:gqJ5lFwc0Q62PzGJLJ5t54Ohj1TcM4wU	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-24 13:50:41	e1a30fc8c565700c5166f14ee24fde74:tvJddpFVlv2YHLi25akrq05pExsl1XjG	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	117.56.49.122
2018-04-24 13:52:32	ae31b9c7d87763fcc8432395b3bcbe19:rXis5mFaV17KpyzcqPA4R46F9D8BmQ1z	Q1:安養平民化	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	172.28.16.86
2018-04-24 13:53:53	74ffd29ffb8375a555d2de513422434a:Q33mx2KRogtdPPqGPpfZdkpv3UVlvbKG	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-24 13:54:30	e614d0b8942199b5026e9641a89f9325:2CGOQR9JJW0XypVrg002MB3BHuQmGzPB	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,風華再現通化商圈	,;	223.140.124.69
2018-04-24 13:55:50	c0e6a1cc892e579646d9a2826bab00bd:5QNMWFmr7OnZl6pGMzsdkBiHZKbEVh11	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-24 13:57:10	cfa500790ba334dceecca617b19e8b84:W7qmSTRaaT0QAXUF1uVc8mroe0q4QLLr	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	172.28.19.72
2018-04-24 13:57:55	e7be11880dd45cc8f7be42bb7f5c254b:oWQRPbsanU4grwbabnSPt6Www78UOxQ5	Q1:米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-24 14:01:53	f9fc840effb9bbf181e6786417b1aa84:CLZfMnfm3w7H78aKeGtnuTpktWGlSsZx	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	172.28.16.86
2018-04-24 14:04:26	b0059390184f3657e34214da22948bbf:lrUu6cNSQ7VZEYw7NC6Tg2QPVi3ShpCo	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,捷運科技大樓站の第2隻腳	,;	172.28.16.86
2018-04-24 14:06:04	db362312705b27cd62fddfaa5b4e9822:VUqLLwxHiIlyqcUraGNTtH0IUhkENdRC	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.86
2018-04-24 14:07:45	66abefeaea98929980490bbced4ab444:MAeuAV4HPTXdNndudfPM64ZSbbtes22L	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-24 14:07:47	e03d2abf358d88320d15af9e44e922d7:EBxd9prpjVC13sUPKQiLzcIGJmHOLy0g	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	220.136.83.66
2018-04-24 14:09:00	b684503b0222ac383d9eb018c244abb0:sHyCVAVbr0u12Hp4eciwbz6Fsg167p2q	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	172.28.16.86
2018-04-24 14:10:04	191b0ecd20f6a4a1b4f85a1150d5079e:tGjQdHHLOSnz1bPEjSSUXGEA7QBZUOIm	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.204.177.213
2018-04-24 14:14:54	b6e4d8a5f8ed639859369d290749ab63:68B9nwozklIlZOnM4qlNWAisl3k29Fsp	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,福州山觀景秘徑	,;	120.127.47.213
2018-04-24 14:15:54	3baaf0535fca94409d8a68e32f7041f3:ShKid7FjHeKzkvV8LelBc3M7z2yTkpic	Q1:安養平民化	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	172.28.19.72
2018-04-24 14:21:33	45a75fd1f9a212875ec678c5309616c6:uFfOqgAarCJXBuYkj3v6WsnwxeNeqkLr	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,福州山觀景秘徑	,;	172.28.19.72
2018-04-24 14:25:05	c59cbb2f2c6e46ea8d3024e4effd7139:qlLS5IOSjYH9frgbVaS76rUR7KZzCAZk	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 14:28:22	a42e5bb2d45906a4ac2e85c25f0e5153:AhuzoagiTduv8dbyV7iS5yE9Js1pOWNt	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-24 14:30:07	87b42be0a891b177d488226dfc28129b:xDG64vcQ0WbP5iNSokMtZBVKcnzJ7mH5	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-24 14:30:30	c14424ae7c2f86e3e94a83d3c2aa8bf4:TzKStiONVxAepvbTOS60NgKxJJLQn8Ix	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 14:31:10	2213ac8af3b815babe88ea6daa83e449:S6wxPiukfM2ZUnOEN6Eot7Hg9zFiXU6N	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-24 14:31:28	8abb1f990584296715572ff6b095e331:mkPUzVqVk0hlZToSujM3mXJG6EUEnJP9	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 14:32:13	351bb9da3c6d75ff6970495df39d8bfa:Fo1TRDxpMSs6HWNFhjmqjvD44DrbimGM	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 14:32:16	4962f7414119d43a1aea482f49f684f5:2Xk6mGWO03tr6EdMoNlQuXK0vjgwe1S1	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	172.28.16.86
2018-04-24 14:34:09	5db0b28d5b83eee88ee9b3a9294a834d:cfythvvth8tYn9xSm273Ou5749Prvzb5	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-24 14:35:18	711d026b0c0b94519a40481e577308cf:Ry6rxcg6PKPbeIZ9jhmZ4ocPXQI30TFb	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 14:36:15	e17ce9e6bb1925f0f97f2c33ceb5ee38:4FjfpoIzD3PoUo6WzEUesqvfhlB4cHfL	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 14:38:06	fff7990c594b02943da2d56148763088:S7oUrBHHWfn2o2EEWAuvEjEwYFeNrC9d	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.86
2018-04-24 14:39:56	ba289fc59ac08fb44e8df6dad0b87adf:4tU6EZ25MUPHM0wCgsFMrxSOYHQf26lu	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,福州山觀景秘徑	,;	172.28.16.86
2018-04-24 14:40:39	3cd8f968e51ea0b66454bb4ea8a4b720:CY0gkLBz2WGR7VO2CCNvyEKRVjdjKQos	Q1:米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.201
2018-04-24 14:41:08	04f195c057f82c3b2b332bfa4707eeb6:X4g4txFMB6L3jdxr8HQBhQvwyqffGIOb	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 14:41:39	65b56769e0afc629a65f852bc6fe835a:IZDO2sBmbY5Ixsh81eU7jiuoFSpUZ3jV	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	172.28.16.86
2018-04-24 14:42:05	a390d6a7f09980beb62cfa508c4f90d4:ufHTKzsSrCnDZbXXyBSGdxLKtt2qhJkD	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 14:42:36	c25dbda3b3efae071b695a111629f78a:YZKEIJldemy0KrfAuIgCCbbWUx8DGUFs	Q1:米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.201
2018-04-24 14:43:02	970e4e533cdab34b562c03c5a63e8d5a:z3ceUMHtjVenoOuSI8pKdrhzBJAt983W	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 14:43:45	4fa35fa17d46d60a9d308291653f3199:S5xAvzdCOtYqM4znjbSUimzHtIYdcEJM	Q1:米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.201
2018-04-24 14:45:01	8ecf4984567bad95f442c34813ea735f:x3srBDVOy19FmWcjPztngzyzVhzafGC7	Q1:米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.201
2018-04-24 14:45:11	8b08fbaea72a37732a5d19e3f7f03820:Safy7iLhjEjlU6VCiFWMK9YDPr0y9E1s	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 14:45:33	aab0007bf08ad4e2e047c5069d751365:wITOLB3LlgM6vUEWm1bTi0Jr4ezdfK9M	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,福州山觀景秘徑	,;	172.28.16.86
2018-04-24 14:46:00	6cdd391f3f323220bd80bf448d741535:7omLxPV2tXVE1DjOvlV9t5BqLtGZzWoi	Q1:米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.201
2018-04-24 14:47:48	e238fb6e7211e8911fd71a42431b6c60:1ZBP5pxBrqODtZhkREDQbtCxQ9l3nu8D	Q1:米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.201
2018-04-24 14:48:29	754c078a08f708a39b735f1078b68ffd:3azzUHaE0ZpFj3tcD2GrOtsPH546sIqj	Q1:安養平民化	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,福州山觀景秘徑	,;	172.28.16.86
2018-04-24 14:48:35	a283424073640233f3b4445b7ae2f2a3:n03XhwSnMhrRXZVlqejp556jenzTGX4H	Q1:米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.201
2018-04-24 14:48:57	753c7ad6eea9fc9e327dcd3e4462c3cf:nHhK13gWZEFNXXF5q9m6IWT3p1d0Dp98	Q1:安養平民化	,綠能台北－由腳做起	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.19.72
2018-04-24 14:49:02	a3e35ca35654f894788aca2b49b6d3e8:L4Q2GZpLSG6ZbWxDDv9DPnVgVj8llowU	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	10.72.21.130
2018-04-24 14:49:02	40be8bb8839e9251bb57fbdb8c191da1:6ZF77X9Z39M3OCkmNg2sGVxE7SdSW2MI	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 14:49:34	62fa88cb0bd2b6cfc10fcd47109a1a54:ZRXe7aN13xqqgpke4UKh8oorgK6lke8c	Q1:米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.201
2018-04-24 14:49:34	7e61afbb76d8984ba021dfade167b0df:sokMzcuv4Be1uc7JzmK2o506zQs5aIFd	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-24 14:51:08	ee9ac06f97538d482ff81a256cd8b3fe:uiEhy8Drj0QvGXXkp9lE4KNleEvER1CR	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 14:51:34	cf5cc30d3c37eb590540d01728e57a1f:qnf9mnMrdvgogvkEoI0ODC84BLSYP6dh	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-24 14:51:43	600e61f750a1a0d520e54ae82d074dc0:mHa7IACFgW8j8b5ruPmCXGpNpur8WOAT	Q1:米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.201
2018-04-24 14:52:47	ed55250696b7bb911bf2c35e521487fd:pgIg1biOpJ4wMhvvhXFFa7MsuRu4TYvB	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-24 14:53:12	3fe0f7a8dfd786b9dfa44864d5f19bbd:tcCyvtyTNNNeSetXIZSCGv834p5HYXe9	Q1:米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.201
2018-04-24 14:53:21	feddd22c28e44e904898dcfbede9c80e:QUKxBz3YG9RMARxCmC1qAimRvHuznIYT	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 14:53:56	2f6a88e0b054497b594d76d32c721055:JjM4EKelSihzKPibF41Tj7WA8f4Jrrso	Q1:米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.201
2018-04-24 14:54:03	3b1c9317b51f61d6b2d1198478b67849:pcOOU1Z5FKvDQghZP3RE0qD53aHJJX9R	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-24 14:54:13	46f7b5f78eed8648693f2309d2472a9b:e51rdoqIsZfRYwlkW9bZSz4TctHNDyAh	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 14:54:31	2eaa944e59ea2e027ce21f8e760ddedd:xfwJcdQ6XCi2gtDlagiyh8UPt9Ql8n2m	Q1:米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.201
2018-04-24 14:54:46	0b57085491c71fcad57b6c3ff28b4493:fr59qROHwrpjVY9F5BCswyESEUmZBKJH	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,;	118.168.66.22
2018-04-24 14:54:59	bf29585c9f25bd57fe83e0eaadb67d9a:hppBtLi5f3jUY2ccAfUCmLKAfCdkWXaJ	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	111.71.84.94
2018-04-24 14:55:24	24e4c64aba63dbb958cf1ae297ee41d2:qrE9m9JoBcYMVOwZl7qUOzC2XKOFlIwJ	Q1:安養平民化	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-24 14:56:07	6d5843332e89a3dff316200f20a74df4:zPujMje0GnlEnhaBrvJYiUaqkSsjHS66	Q1:米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.201
2018-04-24 14:56:34	19a9fd4b82fd88f17f0f160b7fa875ba:mqklP0QSwE0xfnzQFHeSNDCPlAMfm2CC	Q1:安養平民化	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-24 14:57:20	0b167d98abe17bda81681cfc2b0c3787:aTZYxyBG2RWSr875Ky8YwxCmYY8LVhe0	Q1:米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.201
2018-04-24 14:57:45	959a722fce9bda28d73ca1360a46dc1e:S2FjfVsBdZdfQLDsSp0ythjuqvDXgmGs	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 14:58:15	473e10a99d68714dad1b10aa817ebd10:i7EV8Y9ZUbmAmPi14dqjoZGsPILGc7sm	Q1:與自然共生，社區長幼共好共樂,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-24 14:58:54	5bbbce128900c061b29d960f38b79206:WSbFcx5RfF6GyK4wbeGI9XoxvysSx7Ni	Q1:安養平民化	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.19.72
2018-04-24 14:59:04	36c072bb1eae5512d24a452d58b33037:6NntZbcHEqxFtqoDPc9UsgRwXNsNyigW	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 14:59:27	4d5a8a3b29b443f5924617a45fb49dea:3eDEUPtOdv716W2qvJ4JIVK2aPm46fEI	Q1:米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.201
2018-04-24 14:59:46	6c57fc72bfa2018b2e7387148f17291e:ASHB8CPyalloztJgu6g575lyqIJeU0Al	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-24 15:01:05	538c75ffbbbe6a2e114cd1157f9fa7f4:bgKwJPYvq4G467mLMdBqfr26qWKnFIYw	Q1:安養平民化	,米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,;	172.28.16.201
2018-04-24 15:01:09	7f3a5bacd3b6bab0d9bc88a2288c5654:b2qcQ0zz5ORyknofXAVDEAdMhTZfzDKs	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	223.140.196.28
2018-04-24 15:01:17	0c7fdcf2f263a2b2588542f9f64888ff:oWWdo05Q79yE5NVLgFiBVgphFP7feHNJ	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-24 15:02:22	4ab6843b475cf13eec2c98233404b24f:ZBcuSzj9xEpuACro0hMHvuekOHEZIFYZ	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	111.71.84.94
2018-04-24 15:02:32	8a16e9490096a96814ff7a5e9039adc4:hOvyQFFH39tPu9MAFkF9qWVuF7qV40zI	Q1:與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	114.136.140.6
2018-04-24 15:02:32	abda97ced8e787ca5d6863b186234269:ahwmhtX1QTNXxwC9yULE7WjR5JgJW8ms	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
