2018-04-29 00:00:52	10fdcf108845ff3cc6ecd7a6fd0993a2:3umvcvZRZyP0hrQJ38V0HJbIfCxaY4bX	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	116.59.240.192
2018-04-29 19:09:22	eeeae1ce1e0f416f10953b2dec9b2c91:CRfOWOPGQGzuBIt2Fd11yyqVG7alXrcm	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	123.194.177.11
2018-04-29 19:10:10	24277ec5147a663c91a66e056167bc7e:nwLcLJZMrrrlpJABDX0t63PhNFdCxthG	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	123.194.177.11
2018-04-29 19:11:22	1692a0069495d5776e4e6522b26172ce:SW1u04zEArsAhiluxitgnovHu6SBZkMo	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.181.94
2018-04-29 19:11:28	948b72b3b4cea96fea7aeb6f918a895a:R76Rim04BFvydmAvXnuaGrDvM1BkIgWQ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.240.5
2018-04-29 19:12:37	880c4f5ee775acb5b3d9699f73f7c13e:eeTPxZXjPCbzzKxjcETtYoQVlgIvBp5h	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	123.194.177.11
2018-04-29 19:12:47	62c3ef1a9c20ad53ee73f96542d0e277:eJLGjbgaekpC5oBGfZlGERWhuEQBt8fz	Q1:提案名稱三：活化社區青年參與_以松山區為例,;	101.15.89.42
2018-04-29 19:12:48	7b5e69297c0d74ab2e60bafc70193cee:LxIKguuLM8hPrGhMugkx8ZadkRLCZh7E	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.240.5
2018-04-29 19:14:20	e8e9008ff3f168ab5fdcf035c78a9744:tyUn5bZxQHKHd2E0Uk3canq7BwXffiLP	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.240.5
2018-04-29 19:14:24	9e0779f271dfda6fcadc867f1ab50831:9rRx5sktHTTMQLIEKr8KLRuxAaCbIRgH	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	101.15.89.42
2018-04-29 19:15:18	9d254527a4ace35eae7941f6bd498394:hnNyLEqptxK8DhsOzFalfajgT2wVLDyV	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	101.15.89.42
2018-04-29 19:15:57	7e0b02ee8690019f93647eceb8872329:4fZQ9Q5Go8MZIhMCrO2Bj3gh7E5gPMMj	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.240.5
2018-04-29 19:17:25	339eaa6386b7759a826ea555b7032597:np61AvGlrF9Gqi1xKa6FMLNc0yFqNDX2	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	123.194.177.11
2018-04-29 19:18:01	1e6dfdb8b34dd41804b167357b6da66f:OhuBWrc6DItxyRkC7BnpbOiB995Po1iq	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	123.194.177.11
2018-04-29 19:21:18	915d3b9f90d726094150dfefa3fc100c:ZV3ako1he35ocZnoMITszL024OERMcQl	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	101.15.89.42
2018-04-29 19:22:37	bdb53a7bc4ac004ec01f6423a3b7e264:AvWj61V6dptXHKQTgzGsXhu2pTlUhskF	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.137.212.38
2018-04-29 19:23:43	38cc834fe99024644dbc71c89aa2cd3f:nRGiLR9sA5R8gNUATcXPmQMfv4KhPHBV	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.137.212.38
2018-04-29 19:24:30	1271193c26727d2bde97917d29dc9085:FXbftCuFdTgKZtelXFO0Vbwret231mK3	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	123.194.177.11
2018-04-29 19:24:57	d33a9e681313a8bc17610cd94fe8bdbc:cIBOYBE2FX5vggbowFNPDpctyXPnjKv9	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	123.194.177.11
2018-04-29 19:25:18	936614ed8ae345a5827351c9be60047f:jBmCTJ6507lYSIbqpul4GB6liPn49rOp	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.137.212.38
2018-04-29 19:26:21	c94a4dfdb847c0780def7acac8ead4f0:g7fhSP9wf5YGnXKS5wkFQ0KuLlBRCC3r	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.137.212.38
2018-04-29 19:35:02	71253dbc3470347fceea0be2a046e0fc:sFfdZtRz5NnalRteKNK9giZT54xaeiin	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	123.194.177.11
2018-04-29 19:43:56	4bf1f1cfb5db7ddd2ac48723e9783d9d:15EtjTXegm3s8iHfcwGJeMuWskwgLwLb	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	101.15.89.42
2018-04-29 19:49:50	4f5ce61bfd6cc4e8100e4d28c0a45595:LEotZ0eeSaC6ZssCMX1XYGCMbDkGCkXM	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 19:50:19	15eefcfdd001cab1d5a5780981993e21:e5kwtZCJPyIzqwdEPwVQsPP3TJPzuOyh	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	101.15.89.42
2018-04-29 19:51:10	1edf5fcc7770f90d6c64e4b7b3ce4c57:YOWE9Qr9TfVYeqzA5eLbkk73bsTvrscW	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 19:52:39	af9b1d88628f8f25e2c7a59d57bdd88b:AkFQL5NV3JChoOqkjIdiEKJRr8selc7Y	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 19:53:17	b60156466eec424db7f3a4952c51d6e2:MDMlOVMfnIWPT8CSwtt3utcNgkGe5Gwk	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 19:54:20	83af0fcbea26adf8f9c7ac8646ac9579:icIDGNI7wN6NktfOBmZRhCPjRO5Kwzjp	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 19:54:36	5e8a70a1ad893ddd088fed401ada48d2:5PbCL2Ypm4SoQrz59bPrWzT12S3mr8jQ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 19:54:55	c4c7084666476d7e176fd06147973e4d:CAU1J9rTQx11Al6GqWg7vujrfMpY5Reu	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 19:55:25	6fae136a54b5eb4626d7dadec00f3eee:x8GVIOLTw1lrPOICTGm7nz2m4LD4III9	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 19:55:40	c6ecdafe04e6a68f4d0c86c525c8d6c4:XgZL3xUeV0uuwQgGNp2e6Ol4Fmyad5Rp	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 19:55:55	593e31f450e5d93fab88e15a35686120:Cw6vZsZs0Q0ik7v6U5XsVvNHeJstTJ66	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 19:56:12	9187b922cbc25d0880f0027473f0dee3:Mfh2WtjisueF4ZyBoJAn4y9qu9tHqw6S	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 19:56:41	53f4a74a61cb39ee40a867e33597e035:njOFaquYoVc13YjbQJgDhEWLm4ihXGmy	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 19:57:18	90203760e6373c3da7d5d64f721c4bc6:sBLHBO0esXXhg89rxqToPZ3btNFUchFA	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 19:57:33	9f4f5d8ed93745dddf96601fafc66bc5:YB6csBJeaier8n8H9EsR9MQaoEylLkp2	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 19:57:47	b9144ee6daeb21b40b6dc57e4178fff0:hSSF89hEj6C4DhWYK1MZMzmhRSuCjWYC	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 19:58:00	cdb77f926cbaa8aa1eeab3af43ad0907:7kCeAyFIO80XTg6JAUDnnCOqLdq4SxFB	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 19:58:14	04c8c8d7ea273c45af244ad4cf375369:xcDUeej9w56z9SVatosiIVMIjfAMXisv	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 19:58:26	23256581789a8f76c6c604e25f45295b:7P38XYB71cVyL31jXfUQ3aD91BRFAprk	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 19:58:35	0ce2a82795fb24581e4b8d2865bdfedc:fdDTQBHS8sFlGhopLLh5R7NkWDgH4n1q	Q1:提案名稱二：閒置空間_空宅空間改造,;	36.228.136.238
2018-04-29 19:58:35	9ba405f6076c79a4b71f81b0ed9d596e:ISGFCZa6cqI7YbrupC1LyDxqxVMPHZ2W	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	101.15.89.42
2018-04-29 19:58:58	ab5cf8f6325af2508773820056e5cfdd:odn84vNvExeGNFfMPv37DEvJ5nd29Iue	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 19:59:18	835783a39bcabdb9c93e7acbf1ef7e35:IZfsq18A4GjLLCjKcDCzgSfyxWU5F4Me	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	111.250.56.10
2018-04-29 19:59:28	2f10c89aa96317726b98933597543f24:wAkvWJhNfAXrrY64iG9EzebgO6v2t8Sn	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 19:59:37	332da75b972db9d2aa3138df28d722fd:UMOoZ8r9Z7UTLWmrTjfEr8nzrR1wpkgW	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	111.250.56.10
2018-04-29 20:00:17	1a30a69eaffdf50159dd18023377c280:LYYFuwllkGyihL9fQfuj1OEWz0wX2GT8	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:00:28	0ec21c48742ed3d35d07bce02f252b8a:P0K1MQoFsOWNs3Yv3ctVQKHmh2Yw11Ur	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 20:00:33	066b417300d31d1a00577c4874d31108:KsxhlrvXYuor9v1yUpjLWhj01VTJmEhV	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:00:55	bf4eb568b602932ea3559891241c181e:vM28wss6QlYyNKgVNF89T89WdQiPgRv6	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:01:21	a3a0ac23184dcb047760b3267330de7f:JQI1D9dAtIcf3NUDGpAtiYbFICRJ8fum	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:01:34	b17fa765e802483cd0d46880a35ad1f2:ssU8mHDHEbbtnhoS2BTSs0LOtF8X9xz0	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 20:01:40	808a5d60e7ea66076403e26e571da8d2:Io4YIfpDcKbjIZIT5Kuh1HXbsP73hx4V	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:02:32	67afa466fc734f3c5a574dad06b75edf:axCt8cVF3sBmaKLDwyaHeYh6JvlDxa9l	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 20:02:35	c58d6b0636d0a3cba7c3635c69076def:WC25VliO0AiUmttY5FB8KQpFTNrSntN1	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:02:48	9282dc8cc21c5f91159300946da87256:iziK46dRfqd0OflSGcNhqwUnMWVIHYQr	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:03:09	69bd6ca3d8b596ef65770b673e5c3f9a:dsaUdEAHia59WRszoAVTjAtbf5oGk4bq	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:03:28	cf1830bee0fe0e9e80f3a7e8656fd5cc:8XzbEnu16qH9LVpN7VHqgGXEtI8iMvhM	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:03:41	bd495e23538e00334592041b214d6fa8:EhSMdTIRmaFYGtlXJgMZ5LVqcOeLSsC2	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:03:54	892869090aff8fdca13f5620c404ec23:IGL8xzyXqw7l66pvEQucPqC99EmvfaoV	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:04:09	feb08c6771585e1a5d0b0a63fcc96c6d:o0NDTYKgwfJLWLZgF58L0YW19SnmrRIr	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:04:20	554a6dbd0de0d079121bc6d54aa7b7b3:dwA2oLTcf25sqVKb3sAZbv1ucrsYhRKn	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 20:04:21	69b60ffb8dc551bdc1042d536742672c:1IW0S6JfjiurxeruEjPTFbJPYnlQphxQ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:04:35	10b092739da942e6d6cd7a1884b04306:JEIqUv0o9LryXSUalGdfF3tY5JMPthms	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:04:50	1a88c591af511cacd0d8f77bf7946528:o1ipvl2wUNdkw5J0X1ROOnWqrprN0Lsp	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:05:06	8ac4e4bfe34037275233e0a96793ea0a:EEv3sPvF5is5ilQFHJBEIXOVv1JOYM56	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:05:27	725e67df993aecd35d1ba6a9114ded7b:LwGCNUtb8pvkSQuaYFz9TiTVJduFn6uJ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:05:34	be7fa71f2512c09b428d3268c25a9b40:edN2nldw4FnlGkujnm5lJywVS4kQIdeC	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	61.228.1.248
2018-04-29 20:06:07	2140915c68df4e9d45205b8389a6e081:fcEqREHrJPRzvHctcNNknbXPiBePQp1d	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	117.19.219.201
2018-04-29 20:06:36	fd8f7251273a3f7cd6b6659339ba2ff6:cwgk9TYS67QAhDtmU4mQozA299Vwv9zE	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	61.228.1.248
2018-04-29 20:06:57	71b804ea88f8376fd7ab8d2c14431a55:HdZ7CBZ2PQB7KgQNbLigWwt6tSfcWAkD	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:07:15	508434729af9b0e7c5be894c40856993:MfXsJgFItEeA9DLJOGFGNDMg1APyzLOy	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:07:15	035ae455d8c8e675928b2967301b31b9:mleMTvy1lQPc1Fld0aVV5SYkezCgffxP	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 20:07:27	521517de8cdfc89d8992bdb7845df986:nH9zy8vLXJiFlusjdd92jzaltZtuhuCS	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:07:32	cb56f07f3abe88f84e306f4f1ff002e7:KvtL8yR1WitcvZNFuBSkTE66QeVxIkK3	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	61.228.1.248
2018-04-29 20:07:59	1f992a440c5819efa831ffe5120937c4:9a2oHC7gWuMP147UAagMR2vAH8gA9nvk	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:08:10	e98bf0b87385dca344da3e78c9ce053e:qoI7AAY0NQhO03ZGrzw9Ek8MaY3CVRcH	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 20:08:24	c34c3f8e2a8c7f667f949a930998f87a:B4X66MIpuqnbSLQ8IvbIqeRUYnpAuBAy	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:08:37	c11f95cbb99d4d10938e1a138b81103e:07WM9d8XnPwrOSjtDTFPS0AMyLAmnbwi	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:08:50	171b061e22e9697af76fd501a57d8d8d:tzqIriJDbazuOFK9sg1XRSaTDPDioMqQ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:09:03	edfcdcdbb74719f3a8e43e40d38c7469:5EJeXEXgzF7IZJxjgSAL2t0AkTeMHoz5	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:09:08	13c2fac3e59cab8ce79ffac6effd080e:rLitQALRfPwvWqD7tyrIeeINuWMmZ7Hh	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 20:09:19	1019c702bcd3153232ffe5915bf166ee:gQxWkMe9qERW3QeCgjo9BXZ0I42zgxP4	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:09:41	905a11e66ab3bfcdbe3e971e86e9b089:eqihwLcp86DmWuoohoHJJaj3pPB5RYn5	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:10:05	5e4c94b5ea2fe10f1ac376713c9582e6:nu8KFZY4dciEkDxFMCECcPEfhlmoI3Ct	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 20:10:43	4be5dd894bc6c878ad9eda1027dae7bd:FEIENE1ybe6374MBdHFZfG25ZD8YKYET	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:10:55	9f7663c62c26795448e33fd625209b2d:2esMCvhlbGOpmeMfjJ7u4r3OPL07cJgl	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:11:01	7becbd4dc58e408643312a9c2cf4f036:QGytQBwWqsxCKXgnfKlxCoRa2qRCm0Cq	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	61.228.1.248
2018-04-29 20:11:04	1dfdcec8fba406707e12120fa2caa458:2B2pT1x3zmLGUquI1dTfRjhxUHIjmCYd	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-29 20:11:11	578def10361f57995b506a74a51d9382:NRkAig7LBB0yoChOuoADveNRe6txZJVb	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:11:25	7a70f6c703d1d3e168f30e74639a8586:lxwlSkG6u5pADI4NY0WfpMR1hLYRpdYG	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:11:32	44206bb6a2a823433fdfde88f043ddfb:15tyrwj3U7xo8aWJWePvX0mLOqSF8GJp	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	117.19.219.201
2018-04-29 20:11:37	ff9379a71b5410e216ecb1099a0b8ca2:twSLnkM8mIprzmytnS8YgNEymD4mC9M6	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:11:49	868842113dc2638d52a73cc214bbe83d:DZB85h1uuvs03ypCWqAwdJeLjVDPdiOF	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.250.56.10
2018-04-29 20:11:51	ce95b6718aae7efb4dfeb11ac7c57eb0:pbc30rFaKLlTCHvV8Aarxjta3CtBWxyI	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	61.228.1.248
2018-04-29 20:12:05	e96b6d02ae792ff64ebf00d0efa579ab:vltVAxFJ1Gwt21aINL4g5imVsZpzg54g	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
