2018-04-28 00:00:24	8de4132013aabbb09785a0843569e665:VAba9XdaWJLVJNpnqJrITt2GEBhYt2AI	Q1:安養平民化	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	61.228.14.25
2018-04-28 11:12:07	1a5022fb0665ee4ca44bbb848e5ab632:ACwN85Rs89tCXzPGDnmLNMFFSL9K8yzb	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:12:25	ad7c47b74ef269536564f3227826340d:TWgNQywpiNMEJ7gIJDBjDJJHKqhPrujg	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 11:12:45	76e0014ff5efefcf75c933bde5a1f2b1:NRns9kwbJPc3AMjfM0Ee0Oby5BKcEKYA	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:12:54	c82b439d9386ce7ad274bbe4d91e9464:mNQp8vvV8aEixj2bX9Tpc7WJTWG13qIW	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	223.138.184.222
2018-04-28 11:13:07	af02c0e65d451134bec0ece32ffb6caa:A8UdD1Q4qSdP4a4PcoMb6IUUzQxQX2As	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:13:26	5beb297137dfb1950d42ad6f07e76a6f:qxNXtinKYNxTskAu9PZ7NVv9IgcOkxjm	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:13:43	91ccc7240fd8dfb3fc6fa88c41df21b3:JgFmRoVaruU68Jn17vSPC5EbvlKtupia	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:14:02	46277a0dbba4af3bdaeaf9afb93b9049:7ZrgwzdAbpS4vFKKHroxjWSYHbuBRXhy	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:14:21	0e220920eeda767d9dbcfd7af49539cf:u6XeF4uzGMuRY7606xl9ikArmsX4HAhm	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:14:37	fac7dc956cc7ee756075cd6cd86e3817:jMcyrts31FtOUc0LBP9ANqLF1GYvsTZC	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:14:43	4c68547f36a812e121b735aa6bd69c99:N0U45W4ZaciMKsKIYL3RTyeaIsoZltoT	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	223.138.184.222
2018-04-28 11:14:59	e84c2f97bf8a0270017020e8cb140154:a5wl5sxQPdhLBylzD1vxReKIv6nfaBqm	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:15:11	522d43ec9cf705d5355539d73187f28e:LpTGT5lrSzfsUs4tFqizvxzVYlPbB9nJ	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	223.140.68.118
2018-04-28 11:15:17	0605f9afa540b54c63a6929eeac2e4c1:BTNQsEyU7L27T0W7exw1LJhROL6AwkuU	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,;	172.28.16.212
2018-04-28 11:15:33	68d4af1163b10e0aa61c7138dc250ae6:uGTQTodPOpfA7BMHLXlXKinpPwVRdc4j	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,;	172.28.16.212
2018-04-28 11:15:49	e29acf46fd25eaa1d0250967e79acc30:JFfRilWzwGXeGJjoaqwvqyCi25ZvyZOp	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 11:16:08	61653ea746520fb53aff9c0f7ce734d9:ad6RroqI8gbYXfxYZw0op2bPVaqHsRYN	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:17:00	5ff8cc45d057da2aec5b6b63401e096f:S3afuXXjI4CeEtAQ3d5Dr4qtjsq1YQIo	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	223.138.184.222
2018-04-28 11:17:48	5a7c6b59098932b39a5041fa4a352738:bu8zwv0F1Ao7bQo010dB4D4bePfNblW8	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	223.140.68.118
2018-04-28 11:19:24	2c742dcb6d0ec67c737aab79341c2175:oKQhTaGlB7ML9db7rn2Lcpx8uJDDARp5	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:19:54	942118237772343204e039b222e6b662:aH0ryQ3XVAgEp6BrT9ntWt9HLdMiVxyA	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 11:20:07	00b7c8f87f89fc153e30ea5db7edf456:l5m305GdTDot1OilJJakyrCxgm6cy0Br	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	223.140.68.118
2018-04-28 11:20:12	c4bb02c86c3e3a616bb2a9af2aa00b87:BVC9v5IEuKdjoqHTisGyBXysiFFGEjdO	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,;	172.28.16.212
2018-04-28 11:20:29	533001fbec6db73e8c618acc21e85058:o9OfX4AmDXGCNvQ0WACJYHk0jMmLzOxe	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 11:21:05	39e16a25fe0a592c0d1d8d88ae47c6bc:yFO5agleAXqPEOS36A1vP25YDwczvbn7	Q1:安養平民化	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 11:21:20	ceb637931dbbb1cd1553d278271e3297:ulofz5DKfavlkh4WNtGfFWzCIGTaBW6w	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	223.138.184.222
2018-04-28 11:21:36	e98cbc1f16ee50574c23196874b70650:RkIM8OVZ5oKXMGYK5rCDl3sHj3n1hl1Y	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	223.140.68.118
2018-04-28 11:22:07	6c19074ceaa032b85523497218605a3c:Nnw6UdwuTbZQZNCFriqxC3Z5TfSgS8R2	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:22:28	92d10ff0014309f6b9346373b95f0cbf:9yNH7aKlVXJqgqGMhCuVSST0khzNkXen	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 11:22:45	247e78315166d8006fb6051a2e1a83e4:HxQGbclxCjuyeide7sGCglNMcv0nEKFV	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:23:17	6cb1b51113d47ba0ab38627ce656be8a:d0GQjKN16BE1duXrfDIHLc6FFgdYs4jl	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 11:23:36	d8e60d753b67b6085255547a1ddfd6f8:sFODMPFSHLYHMJXGtrH5LCllOgjvlNCP	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:23:53	16648f34e4d9397a822f4734944d6624:UCOLRMy2eGvPCsyJv1k7DCr8k6lBC5l3	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 11:24:00	6d41798919cec0ee63b87b807f1fb762:D8OmAWVVPl5mGuAp37w4Ewz1KY4zVdaj	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.202
2018-04-28 11:24:08	1b2fafb75bd38c0d203fa631bb0f6473:cYlIxBQBhW7zDK5DSdZ1moZJUtuS5atF	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:24:34	f0546149861c96d77752dce8f5870a8a:nwkTgyoPpgFW1H9NSzjHG5QQdHSsaHDE	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	223.140.68.118
2018-04-28 11:25:50	c22dd23d62ac1f64e39a7e9e73e57043:ORLn47bcuwoqW2wDtxjCTszLRUcU7oqG	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	223.140.68.118
2018-04-28 11:25:51	388a499fa7b258720078665e411ed217:r5TDgxpT3A8YgQT3KG1wSqsClEjOZG7C	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:26:09	84dbf44f2b9863b682633ed7cb94a1a1:5TabuJJ5OfUswiBoc95bMHQQuESPt7Zd	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:26:30	eec909ab04e5bd7f21c809bb91659416:bg2SYSHd58HRx4a6PkKyT7dW23Yb5A55	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:26:53	4e2ae0d6c3de4cb2b829b3e153d35a69:Kl0qgRejDXfkpDP5h6u4MnzFJpaisaOs	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 11:27:01	ec05c8112b62129a484944dfdf07bd68:vZWg4BXRy0dXZrMkjUNUEM0jJbtIiCBK	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.202
2018-04-28 11:27:20	0ea7063041217ba52cb3b5b6d4b2df9f:EnuElYMp3T0nKDQ2SBD6ra9JoMG8NvpS	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 11:27:40	d2af2a5a4ee1136cbdc966d6636881bc:sLOalAC47xOmliWeIK6KZDI740squa6a	Q1:綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:27:56	6b31b818c941e7932ae28a7b84e0ca08:2LV6MhVxY7iCZ3gczbHKUtbimJKnwcth	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:28:13	4c50c8767022172e1053409f0937ecb9:zgIL6qvHwgLb14ERUuAjNxb9maTCu39n	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 11:28:23	9e38b70bb5bd5f8b2eeeefeb75c936f8:lxs3Sq99yQRmdBsZr5egpeujneqZ8sgX	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	223.138.184.222
2018-04-28 11:28:30	21302ea604ee4fdb71a0586a974763ee:0IkRXpdWS83ZW2iKKqOLJvXhDDapkPL9	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,;	172.28.16.212
2018-04-28 11:28:54	6de754c491e04301c658b52954da62eb:ND2uFN7zxyhV4WlpVG7IBZ4fmQsd7e1w	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.202
2018-04-28 11:29:31	e680d9cba1ab40f72aad04c085d6895b:adyeWKOjnOiCCA4rhgo805KmwUooaHOF	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	223.140.68.118
2018-04-28 11:30:40	d8ce87e2ea8ca367fb290169ee1df91e:pNNBgTRKA9ZxW3On1IeMhr1myQiiyyrw	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	223.140.68.118
2018-04-28 11:30:45	9cd8cf106395a9aae64367479491dd2e:lQ7AI8ehMNUqoEozjRqrMslIaDqYmxAj	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	223.138.184.222
2018-04-28 11:31:34	d299bad6be81a0d40f0d1f2987a3c5c6:iYhiL9zHZVr9mbDUlkgIAISUMhLMUxww	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.202
2018-04-28 11:31:39	6c830a9a10f9261ff2b5062e405832c3:b4GPkmScoh4c1LMhxdp7qYamNjOjLECA	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	223.140.68.118
2018-04-28 11:32:30	a4a5b2798aeb036fe3f41767ba4c9f6e:Z1DyBLJNf3IytwhAIazqFrjDikwaPsGA	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.202
2018-04-28 11:33:08	50be9a6a9a1e5a26b83f9a999ddfaa7e:FTCbDFKuS1s4225XyBdVTOVc3IR3kkjt	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	223.138.184.222
2018-04-28 11:35:07	930d98ad0820cfbfe84083344aff3630:ivKBERY0yagBpWYiq9flfG23yQ3er5tl	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.202
2018-04-28 11:35:56	1135a541e217f865766d9679d0b9b98b:LNiiTXCLIKPtIfUfO1tCsEzJjdG8Ldzj	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,;	172.28.16.212
2018-04-28 11:38:08	fbebe085066b77dfd6b9bf053b3f539f:8iCEqjXCNun5jVo4f0ClbnEAL2svz4hP	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 11:38:27	57e0858939b526aab2ce401fe9ccc24e:m3tniuU11HRpR0ewZ4RszrCxg8SZkJc5	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:38:49	e013092f77a5bc6de9eb393e90a051d9:47PZvbUBtaEV482IMNIUWovMC3Sh1ulY	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,;	172.28.16.212
2018-04-28 11:38:48	c5d85c6dfc5a9cefc6a96516915d389a:gaDIRQmAD4uYy4iZl3IfhfvoTY7F5go4	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.202
2018-04-28 11:39:13	d036b2b1fee74468bc1c9c4e0b690714:VleU2wgwVV4pMGaPinH9fFaCoshMyCul	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:39:31	51ad2c76d59f40929b105951b511d529:Xpn1OEp6KMSS5gPZHWY81H9tRKZwC1I4	Q1:安養平民化	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:39:50	6e5e0ecff35ebcbab61b288f602b7a1a:0lbcgz4XWhMfzFndzXCw4hx9hU8cJpIY	Q1:安養平民化	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:40:10	f49a10f00261c5ec2a2cbfa198c22e06:djFuJQUcOmGnrlqyDZ8REvEDGS1bJb3D	Q1:安養平民化	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:40:44	cfadaa5ac81db3cb00c38403b576437e:Qrnl6N2q1OLBd1KHsm5kmRBGfpFyPjWJ	Q1:安養平民化	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:41:04	25a881ead7471efc7cc22f0c916700af:oBaNbhrkCSXXNTzQqzO9KKtz46MbXKvC	Q1:安養平民化	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:41:28	636a93062be8bc3e9f5072be1940e04a:65mt6jENf9f95KHO7pid1joqFZUEJSJX	Q1:安養平民化	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:41:48	f5acbdc740e5d1f5f075f36b569158c9:VZfTgJCYsWoO3OxkWf0flzaslkiEmYzR	Q1:安養平民化	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:42:59	bb40d09bf52dd33b82482556d1f46524:9haWV269IJ42Za02NTUaRj4mJ4bFkksE	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.202
2018-04-28 11:44:13	4d2679c92d845c44d204d22a5087ce68:vo9jO5h6EJt9snwEVyNgrjZvsPWzACOd	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 11:44:31	ba424e88b6c2f9089a358a7835f880d6:MkK8YsrFFJkWsxz07LB08uKYZwgITZrk	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	223.138.184.222
2018-04-28 11:44:34	104fa1c4b3979d887c6917266b64f54d:gm0AuoY23bxZauzEiFKi2slqo25TsimN	Q1:安養平民化	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:44:38	aed07bf8aad8b8f101cec6bcf09d33b4:I8ETUiBFwCUd77XYbfMhZMfJdXuvmZ4d	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.202
2018-04-28 11:45:03	e85031ad36a3cef95b19370ef5c0063d:sQJX38mjWnJMs9PNU0PPLrXY0ROUuqtk	Q1:安養平民化	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:45:21	c4bdc728a310a89ae900f9152d1be7e5:MnGliqs0SJZilx8VQmu2IS5Gg4d6nL5E	Q1:安養平民化	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:45:43	4d0eddbb0e5ead4d8c7844de5aff4090:uydq8IGHpWSX0nEaAOn2W934023SyrwW	Q1:安養平民化	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:46:01	46d366cc1d4538d247e1e02b6c7f99c4:ekqtgxOiiVOjeABwuRXRkx6PjAY0ghkv	Q1:安養平民化	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:46:13	64e2423829de5c574fe8de86bea41a39:KO3pjaTm9EuHBZ3m89LjcCx15gmHh9uC	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	223.140.68.118
2018-04-28 11:46:20	f25825a4cc74f7cf1fb6e2fca036328e:uE91aTMP2sokurc1bIpwXKip75TVAkY3	Q1:安養平民化	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:47:08	c6e14533b5b46523cbfc7d6af52a511d:FsxgXuwhUFXoS9RWCyLgZgZcxmiciYJo	Q1:安養平民化	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:47:30	902ae01a5301125013d49f3b1aa55b73:ONOScsFnRoIkbGpeFbTNLBbtrjnmERTX	Q1:安養平民化	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:47:48	f600e6b2e04f38a750f1e73cc9f46280:2YbAzWLpq4MQ6UgwBGOjETWXGYqQiH4A	Q1:安養平民化	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:47:57	26ec30f1d21e5783dafa19e686afec84:STr1whQU4mMRFUIuUZlVGGgYiMFog7q3	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	223.138.184.222
2018-04-28 11:48:05	15a00bfb30e1e78a12551f89d8a7edfa:HepO6VJMw5uAun2IHnryip2KUhRGDUUv	Q1:安養平民化	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:48:27	92bd1a926f521a78b5002973a8c6ceaf:2TtcOVok8SCfUBxbMrcE8nZq6kqdtl12	Q1:安養平民化	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:48:45	f3f98b7d4d5a10341dda01f4dc289ce6:vvdmY2k4CtZl5EDsO5lB3myo7vnOsvqG	Q1:安養平民化	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:49:40	abd8274422a05259b33b08370b5a14dd:lBDkLY0pDdxMrBz5VZzBh7b2h6HoJv05	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:49:59	0d0b29f646852238297c8e624ebf4481:ldrOVjURd7JF2ZwaqJdzVW5kqaZP3Na4	Q1:安養平民化	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.212
2018-04-28 11:50:20	d5890d409fe9d3ef78e503bd02165473:lPbfpe4mzYgUfgiVHPNOVdZdPOJVVRAz	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	223.138.184.222
2018-04-28 11:50:35	55a1d978f6956703c22ee0d5e0ca74d2:DMMhiTXH8k2UAKQMd2eCq1zxDZMpg5RU	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.202
2018-04-28 11:50:36	340768cc9fb0128d5abe09ffbe05bf7d:BDuixHw4XkaL4lrrJVSMz46TXdVOkLCC	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.212
2018-04-28 11:50:57	cfc8d24e84170fecfc070862a1055ee6:xZtBFdVFDOeorL9z8uw3gA1vp96q42Ao	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,;	172.28.16.212
