2018-04-29 00:00:58	3da64c11a54f8b9c87c968c11b8790c5:EEVmr9C2WzOTtrAMlhX67mX6vj2l04nX	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	220.141.67.97
2018-04-29 19:35:28	ed203eadbb071ae57bb82aed84351803:9taWlKYT9CT3NEU8Ma2ytAPDAz2DA4ap	Q1:綠能台北－由腳做起	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:36:06	6344822d7a406be671a5e4cb501de474:11dK3LLaYkDHtc0OdDvykS8cO5wyBMq7	Q1:綠能台北－由腳做起	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:37:32	08a047db5e5e0fae41951cb2efc7634e:907klDVLsCfVpTcgCQ10SBe2PO7Bk15t	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:40:38	6b2cdd8d10a818a8c35288ed4581b67d:0K9uUqlxsUXwZ456cZ0ZxhHpKe8Rxzlv	Q1:安養平民化	,綠能台北－由腳做起	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:41:24	6cefac50372a00f28e9021c33a9256c0:GvEFokw0nXVf6MIoABFYrfSifsXm1STO	Q1:綠能台北－由腳做起	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:42:08	f0916c833fe727515673a77209276c2d:EAdQoNEgYegSLGIokkFA1UtMSfKG7qYP	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:42:48	79ee0f4f6831f4d62d537b51d866ee09:LlCfelfnWeCKBGKGEuqskwW7XIpb67xR	Q1:安養平民化	,綠能台北－由腳做起	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:43:30	dca494b17ab80934dd9f49a4767b380b:JOcUdLLET83QSZb1EOtBfiw16tvCxgKl	Q1:綠能台北－由腳做起	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:44:16	660151e1edf69d6f3f50c2c75fd78991:mP96stjQmQE34IHyoLK9bc9G73DKDa2R	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,風華再現通化商圈	,;	180.217.165.115
2018-04-29 19:45:26	427d1153fa8ed57e360b98a4bf391f75:lC41aUZrpPqpRezFowjGVMqLOC5IG6v1	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:46:24	f6e97f9d68b1a6f8d269985b301a63f1:1Q8kjsk27a28NMcFIbJzcbsJT0ENynDS	Q1:綠能台北－由腳做起	,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.165.115
2018-04-29 19:55:43	d2785b43d394235eef7ac1d0e2c34bd2:bW6plcQvnaac7G8kjxhnsUzB3jQKwS6V	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	58.114.176.14
2018-04-29 19:58:56	fad59a9083dcc8c96e8480fb9cd736e0:T6MuREvQDIAjiSiWMfWWmuFkwKAQDRHc	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	58.114.176.14
2018-04-29 20:01:22	8ef288121396a3d11c319d8be23e22d9:SOemYGgTMGJBRL8amv1AY15iJqm5ggxW	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	58.114.176.14
2018-04-29 20:08:24	2b9a87ff1279b401f40c01cf38eddca2:Vz5ycewvU3mTCVHLPK1jhCNtXzviExrP	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	58.114.176.14
2018-04-29 20:11:06	28c71b17c758bd4101125b23a108197c:M3mduPWG2w98bxoXgMay7ZvRIKNKmbNQ	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	58.114.176.14
2018-04-29 20:12:58	92af948ef111ee6a7c6cc75897724adc:GrnlRT5bvm56AoPkZHn8RPQc58oesbpy	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	58.114.176.14
2018-04-29 20:15:13	78e927b21ff2329feae13390c62e51c4:T60YN60Iu8ArNMtZvIL6OkIFqUfGI4Xs	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	58.114.176.14
2018-04-29 20:17:17	ac4667bf2dc5696747c575ad628027fa:U6YP0nEkEcPOV2YRDvciy5f3es7YY1b3	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	58.114.176.14
2018-04-29 20:19:14	6dc640357c0d46cdf9c21bfb6c052966:7yhrUjUQyolyTei2LSEKTyRJTVpSDG9f	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	58.114.176.14
2018-04-29 20:21:41	42d621a0a0625f02fedf60789ff36625:x1H5EE3ATqvn39oXnnlOCGuZe8L5ATY3	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	58.114.176.14
2018-04-29 20:23:39	2ef5767409fb5fafade8e9f965d05cdf:fvSq7eaa5slVqEHDo0uSTvtHy7V6zH7y	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	58.114.176.14
2018-04-29 20:46:09	441b82c0fc0a7117cd05b409a9e80d8d:AwD7I0O0UtL4xXxLEFSAs0zhniuker9H	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	223.136.130.171
2018-04-29 21:48:04	8aaafca42be54cebb8e147a27205a57c:3MwUTcN8iU7ZXyD45ldEJBGtmCl9mppG	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	203.73.6.224
2018-04-29 21:59:11	53f607c497ca145e0584de122203a5e9:NIf6ZOrZVeggavz2NS9yuD0zWVhE5wHY	Q1:安養平民化	,綠能台北－由腳做起	,風華再現通化商圈	,福州山觀景秘徑	,;	122.116.23.153
2018-04-29 22:50:32	dfc03aeda6c65c12df7b9541a09db372:mEjNMLe8uW20FLS2OpGZQiVP2Qi5teUa	Q1:綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	1.164.174.248
2018-04-29 23:11:33	4a563fe8aa378bf7cc93b5bdc50eaeaa:thUM0O1s5CcfBU4beUpdxaKtRXv3SWfj	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,福州山觀景秘徑	,;	101.15.198.16
