2018-04-28 01:40:31	0e4b321377e631d9de210802108584e0:ILCo2tFHxvDhQwye44HWBzzNSZFm1ipD	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	36.225.52.244
2018-04-28 13:42:02	fd4db083c3710cb3ff3b3db004951d0c:OlnsMHYnKosYqwc8EG6xSFzWwguknLXy	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 13:42:55	44fd5fac1ad613e30f79f9f68d44ae56:eHFRO5kFVWehWWa5EWF68BvB9PDXcbyQ	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 13:45:46	868a249d94c9ae34306c91a28760d2b3:4SeSTMAI311QzXnK3GjmWxbWZjOhvXkF	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 13:46:41	a62f711159a19fd5aaf3f8aab31e0db2:0zqsWhaU1pUIMMLLK24CzeaZ5DMtUVSq	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 13:47:39	3cb69b15c34568d93b9e03323133e13a:v2hlMAKSt7u4coZQdhjZEFWhL3V2jTUt	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 13:52:41	3ecce60156bb73ce220dd17792a9a3eb:PgL4lX947VlbTNPpLvH32M0Ei3Cwvx1t	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 14:07:31	346f37379a03cc943b91fffdacb33090:lDCDbt6qVUFfNQNCM6cdMxFXEAwD3y8c	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 14:08:32	73f8095dc9fd647309163952731c1202:HBPPKDhHJQ5oSBsoq6v7vef6YPiiifmk	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 14:10:22	7c23ea31254bda3e130d1a67c52e6f5c:Miswb9PszTs0LSoOtKSBVCuFFbqaH2Iw	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 14:11:57	4b800457b4663fb224f18136ae9e197d:E7NQpw81niMBpvob7S4OToip59X7sceU	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 14:23:25	bf7b871e56d4538e7e6d292eb8239159:Vf469H2HkiwD5NQogSjiYeR9U8XhGUi7	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 14:24:15	13119c71e2e39e8351af897e35fed072:JMOD1eUmhRr6iv4kv0zjT2IskNLw2BZ8	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 14:25:11	7d857b9b45c3f88b6848ee030a9d7147:OKz0sVCj99exfnJZvfaS5FLGPGnbpRlZ	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 14:26:11	ad37c6415a23595969f18319d02adfa5:p4bIG8Ym1VMtzDOSFaetx0pEVTTUXNG4	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 14:27:35	6f1c8cd02ae4e2ea757c5c1d6a575547:exfUYCXCIuIkqBMpRmZbvDeRsVrEwobW	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 14:35:09	27b5537740b2d45c87ea4229b5878466:yKIKqyyYkZmqwaAadwdmAqkeVXYarUXg	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.138.59.79
2018-04-28 14:36:55	dc3d4d38d84ceb02fe04d52644a687c2:nqyKqSyxAm6f1Ve0FBgv0knfPpNQj6fh	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 14:42:34	6afc96f5931424d9185c17e6c616fe0e:kYoJNQc9ZZCZ3XX5E6F4dWD7IOKR7NbW	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 14:43:28	42b4479eca10050d273ff21fe2d0d3c0:kExLqjRWUHA3PHjMEr2f69zozePrafOI	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 14:44:20	3857015ead06f24e616412ecfa8453c2:QxXWPosxdeA8K6CT5U0mxNnfkTXysotm	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 14:45:12	48f2bb9086393fb0ba3e50190a8db332:8jpJRiwlhnAvO6wpBE270AhFz6AEzUw5	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 14:47:13	4530a826676f71659e418c5a0321506e:0USfcy9A2vQvKT0XAdZAngiNiob7jjtw	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 14:48:06	51620318be33fdead2ab8605a7b2f6bf:W00xLJ91giRPtnwSYmgEXyFMAeuUTADq	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 14:51:31	4a8f3c2867c15e464353aeeaec1828e1:kpKItnKCJ9YbAh5ySb0esBriAoMQQfh5	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 14:56:04	c48240466b6afd1d6ab05cdc0cf932ed:75Wc577HN69ET3Bbte5Asx1F4XMa3Tm1	Q1:樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	36.231.51.26
2018-04-28 15:21:58	070f3f8c3115e4cff9d51bfdf8f1e2a5:vEujz8gQ6QAg6M0fMKyq5aACLYgdFRIg	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-28 15:22:38	19984b80a87649f1ab1a248d58914bb8:NtN379p1LYBDFVCGbZXyRkjMmsxY3eSh	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-28 15:23:17	237a281f2ecf833e03370ce49552f0d3:D1nAnRFqGxuYCFX0SrOBYEcakz1IPYv1	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-28 15:23:57	647be641dbedc49b826aff0ac6338d3b:t5LZ0WY5zSk6RgUJ3L1WpLLNXQ02NSmY	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-28 15:24:37	6a82f76a2fcdace57f92caddde146d0a:SHXlIZdpGOqe0vWnt958HhkV926CcZHW	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-28 15:26:15	84cae57cd3153a58e5d2315c4f01add8:ynxDrVh0fxpY4bndqHdyI4nnNWcg8VGy	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-28 15:27:02	95069d479a04cad39958b488fb8dcb7f:Tt4PgW4Eh2wdv087ftqkPDsGNRRjmmII	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-28 15:29:10	33072b6f4f3cb62c3a47dcf1451be112:pAOtrhnPN6HOHRCt6IfPsCtuRBvvZ36K	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-28 15:30:14	cf8a8a6c51c0826123d1e7b61fde4277:eeH1x0CpOvLahRLYLxz1iAdyZg7GL3wv	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-28 15:30:34	1daadd8a5605a2c9250af5095fcc66ed:p54rdbECAiE1eFrS6obkslE4nmoyjefr	Q1:公園內建廁所	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	27.147.7.164
2018-04-28 15:30:57	327308b54a464dc3a1421469b484538a:e0IldwqPc5bpTRlnIrQtMvJqmLqXhOVu	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-28 15:31:41	5747e9a5bc3a855ce930d20cc41c615c:jahlu5KdsDHCz9GknTtsSX0tqoUAEf7s	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-28 15:32:35	cd466b3556a14fd9ad6d924fed4e9b2b:UnXlCMi9x948vXkQUCyPEE5qlJxyzcvj	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-28 15:33:31	5311733bf0511d374c37c812e718143c:w6OK5mnefWt007s69mODPSw770xn7s4D	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-28 15:34:30	7f1ccd0ac0375850f96c09f182db4477:KOkGP09LCzq0FixfqKq7u3FWlL0ZEFqW	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-28 15:35:32	3390c237377b560b479a6d508e718c0d:5DVIZonBwQsHZGisgGcmU8N9IH3CEvB6	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-28 15:39:24	a44490a5de67d5a75fe8f43ff13f8f10:Mo2qxCRvaiaVmWIxtGwEyJJoMd5tdtgg	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-28 15:45:29	4612e41e9f78227b7b282fbf26825603:XzrKat3cqSUvhDfcsrK3nOep6nGGHBnQ	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.28.16.86
2018-04-28 15:48:13	4a3026816abd1afcfd156e864fdbfc9e:K41AplBTXfhyT23uqHbAwFNCo8TssjSb	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.28.16.86
2018-04-28 15:49:36	d001b3dd3534b9222ff328488d84e0a7:UcqUZ1NPB580FiceBwKqVfwDWCTKP10G	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.28.16.86
2018-04-28 15:57:29	63b13060a7d2c08a8d8b236b868befde:kxAySGfX1janZ26pAmtn55hijm9eBeTR	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-28 15:58:55	0190511d9bcc1db0c6aa4f9b22a003e0:Z4fao0puDGTSecXgm7f8t45bxSDSYLFN	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-28 16:43:03	950304a102e0168c10f17a1524bfb48d:GAFKZmpbfinndrBUlfjjLnOeEbXo03kk	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	10.2.3.18
2018-04-28 16:51:27	36a3810929c3956887399b4b22e2a730:A3hdhfQSaGsk3e335mtAVX6erWl89YM5	Q1:信義之星-中興里區民活動中心	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	122.147.18.46
2018-04-28 17:10:02	bc4768baa8105d49ececfc4cfcc4567f:nwHW416c22QR79vB1vYF0tGyhzHApmnh	Q1:樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	36.228.25.214
2018-04-28 17:42:34	bfaaf427e19ff425b2f10ef534cecbd0:ug4YnsPaBGI4w7AIedLMNWUrhkkiUVPd	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	159.117.80.170
2018-04-28 18:01:49	a1c38fad4a5146eab61761fd4a5ee32d:tPgA5xVpsyDjnuQXjWWLYoRC6NpYGm7a	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,;	10.22.20.6
2018-04-28 18:22:14	5b5e9529d68714160c0252f3196a1455:h8h49zKxFpQsVM6kS9uUjxOi88muDeRM	Q1:公園內建廁所	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.184.11.91
2018-04-28 19:38:45	d66f4657f1d964d1e43c0c434aaa1cbd:7gRQafwcEdVKGK3QPWKyvzojVMHGK6jp	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	27.105.48.39
2018-04-28 20:15:50	01922f2eafd3910894b8c705b1b179fb:Bbw5n23vvNe5h2WwwJtkUADPRh1GnudV	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.200.213.91
2018-04-28 21:33:32	e4b341b13466e3f9c13ab3e166448e26:B997aLiQLkYKBLkTlKxI0qbsO90ISwaF	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:34:30	afe206a500d251b48d924e24a0e5a245:d50P5ofFkTZehiM1QRu5MC43T9T0WFkP	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:35:02	a505294ad9ca9bfaae38aa5139038635:ma4ZuqAfoVTqsqgy6EGhryTcZSQgIJ3C	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:35:47	8fc9f364e5fde97d97217d48026da352:UCAHedyEWiUiOTbI8hmNmUhPke81z5Fa	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:36:26	528eb995b24f468223d81d5c7b117ce0:qMN8oww8YUC9SPl2vVZZdSbKH1V7RnQy	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:37:00	4e0900439e89082588724da2c1ccd50c:WbwA7FAdGNOswiyaSXVm1B0Pb1xacclu	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:37:35	991a8d2ed8f00bc3a980f4805bd288ac:IOC4hk5c1kpLANlj32AGRUCJ8GNyCXfk	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:38:09	b811941392ead87eba63f29b7c2b598a:Uxv5bniJettp3hX9Nn72yAOccc8WxHrA	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:38:48	bc5fb2216aacc56f5a614157be647aa9:LrF78xfQZ2Cst8R23j5AQFa5oq4En02w	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:39:33	9cdeccb490ec4af27d071e80768f24b1:JDtIcCIcBDvMXY83UDnYpHl40QFH6ItV	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:40:04	db9f393939f7119be189bde4345bdc96:TM9UDNYYL8jo9yCH80V1fjC0V2Vl9Upj	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:40:57	13f4df69ca5c9e355fb7016f6c66d13e:09W3Xxqp8COwI60jtgbOV2uRArl5ZW6k	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:41:30	598bc80e05dfd7dbbfa9fa4558680b69:eK1NDEaNdb1LRvbWwqSh4AiXZCfukOMO	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:42:17	f4a7ad32abfccdeccce0a940ddfcb5f2:JLVzk7RcRqZSautj8RF08fj5iQzJIK69	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:42:54	773957b445518230fb1c31a99095708a:20ePHgc2JRrZjkMaLge7AYbZ4lL3cIHv	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:43:25	1c70f62f1ecd1f53eb28ee5d77df5980:hhdcjjsXdYypRi1EJbJTjNGhlaEIMX4B	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:44:08	4d8c68e38309ad00162bb7cf85821550:887u00vI2bGVQhzyJ3FVmrrA2xPb7IIj	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:44:42	11678cdb3496d719fadc7a899c334b72:twdgknjGLQQLMT91A85knCCNxD6EdCyq	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:45:15	8a2392cee30c79516d94f519db997c45:hcy73RbZUgLNMuMS0ocffkw7wlSO6Fmy	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:45:50	a36036cfffda2bdbb793ecf5e41c6464:zoFYd2gWXYZOxxUVR6foPz2HiEuuN3fC	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:46:24	5272748e74268e833c9a4f28a5d249f2:JyMyVEwXTgcDm9ZYvu0woGh3LMZcOEkf	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:47:00	22abd72dbde5126281eff70374ddcb21:UaLM7Yidgv8AZFJB9BWrYvHLgWyrZz9O	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:47:39	53971bea66f87dfa3d24a731283bff54:IUAKl3vBxyURS5utTmf5234voewHnFKj	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:48:14	d3ed4a767fe8974e65f72ae3de74fe2c:BGPON8okYgl3xAksgLSpejPce58l8DCF	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:48:44	3209164792615bbb5b287233ca924a03:fmeywAOkdxAF38dzdXNPLPoABm8uw7lU	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:49:16	ba4fd51ca95393e8049c3ee6bd188819:yHgx8tZdKszVZkAPTcwxZ6rDW8avLe57	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:49:45	a6e04fd23ec77a0ce5b5ad95c4f440a0:XqPIIsDRuTYcpyzYabaAu5vA2PCCpvk8	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:50:14	90ee8c02e60af4828a354ebfe6a4d2aa:gOR2NWWH8UoRsKAQoqI7SnisqsQjZpKQ	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:50:53	7754549362d991e1e0dbd7d2eb631e2c:3wQtsXJ0xmGCWywJgPU1gcCEK9MLb3oX	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:51:43	caa41da2dce8f61825c4766cf29caee7:EWE66h7MFJjpsP0IZVH4kmAOpNHVYaLg	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:52:32	937ead32ac7127e27e10885bf162bfd8:R967QXSfjF145LcchXjM6YjW87UPz2ND	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:53:18	d66f888af8506be21e49347af8f8fadd:IW61j7WFDNhcYBhEgo4Gr8YBT56EVuk4	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,樂活後山埤一號計畫	,;	111.250.68.150
2018-04-28 21:53:48	5bcfb6df6ad73c14a28cb238065583ca:vnfZXLOvaIWjdxO64XJiyWSoUKlW9UmY	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:54:23	2da638fab3f05452933a33f35c530376:S18tO6FeCX88AkKMuIkKUd4psKAxoE08	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:55:11	c2cf8f9bca74abb200759318fb6205c4:es7aKbWBeJAl13YFrFjsWuh8IOblUayf	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	111.250.68.150
2018-04-28 21:55:42	e679c4dc20b04d507fe6aaa5b351eb65:Ym7F1kNa9x0beH2gpiXAlLXqGNjeQ6m2	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:56:13	7dc0acae2312137c33d375f912c5b6c6:IWDoWc29gff9xDaUWd45yWD27UbQ2IHb	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 21:58:24	48a6082cd19dabcd7e916b5d04818565:yULw9xDFbrqtCCxf8xnSaY0K27qrFk2F	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
