2018-04-30 00:12:40	b1bc610795a33252ca307ae3e5e34258:gFqyOGdOER18ULQwFvYF6Q6mZrzhVUb1	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	36.231.97.60
2018-04-30 10:15:58	ef4871877fabd5744cf8b192d9bdfb12:9EqyG32eKC2c7YvAGZMsDaj8g8mzgl9y	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:16:24	22e7c940e28e15de5cb7f4c0fcc119f2:GLTFMhpXlSkXv2yHfiW6dWaRQF8SE8WY	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.108.228
2018-04-30 10:16:55	f9cbe93ccb9e91de86b98e9b0a488b1e:JM7UsSrzCCNfTiXJjyTuYOW9D69xoXzF	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-30 10:16:58	023783102d0353ad2c0dbc6939641770:6Lhw3W1kctnJi4XpU7MYszTvspbdjUqy	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:17:32	6f54ccd00b5231ba27fc4c7118482bdb:eRMO8VpUklyNw0z9oMCwGhzHSMZ7NSQ3	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:17:44	c1315c2f8767b5bbdc7baf8eff41c3b8:82pPHjJkCLAXmPh2Jnd5mcts7uqSFLQ3	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	180.217.162.184
2018-04-30 10:17:55	8fbacc5d3a6a356f7d6ff91f9be415ec:B59hK9HDY3v3xsjWj1L380f3kz8v05Va	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:18:01	675ce3b4a5b1023d9bac328d0ea01316:zPO5oVrtj4VkIWLNjBaUX9B4eCafZNV1	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	114.136.189.1
2018-04-30 10:18:33	793786a9f7bc6a280d433db043eec225:4ySAPB1ebkqTyuUAoYEBQUbB4AgjUfpF	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:18:52	aeeaff2f2a6025c8d2b3fd2d6818c8db:QuzUG1cM0GHT6RVtK1gqrJQV1Q5Uo2IR	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-30 10:19:00	0fd34fff91c95790b56404587bcc4521:xC9mmciyKOWFzEE7sXaRPGYCRTfmchcN	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-30 10:19:13	702e79be7b5c3b682a2dc3249603ccba:RUV67RGUB59hISFynoumFyfjMQvwTcpc	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:19:45	0c3cd7e3482674341a86659e4ac7f57c:hqXxJMW0npLjUoweXPnKSrP3G6o5cPKd	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	223.136.108.228
2018-04-30 10:19:51	231e3e026dd830d0538ffe794a01277e:FjEch9iUaI6sp4VNKsbbcUr7v1jttjYJ	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	180.217.162.184
2018-04-30 10:19:58	c4270f845984734ce26db6ec39dafed9:ok6a07lfUlEFukjplpOWIgbxUe49TA40	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:20:30	d66fa9b58342f954d81727c8e20a5b51:VNdDbiDvRtnjtPOulfYVKEgRU17QB4f9	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-30 10:20:52	d69a8c13c5c11453b9607e72da05dcff:u4QRLyrQxQzx21t4UDMGqxV8AwQEwidG	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.30.218.57
2018-04-30 10:21:01	ee010104e27e71d91e81a481656c5c18:4C1TsrkXKRaMdgh1qhZuPLgJSxFhqxzj	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:21:16	689a202e126a14d8711c5bba660e38f2:Znel5sjxfmO50dUVjmVCwTSs2qsZqArQ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-30 10:21:38	c143ae82227490c42dd9a6fc28d3d6c6:DnZ1zy9wDA1UqafNlopHGozcA3iKZ0X0	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:22:13	1df5b6099f57da00cd6eac3eac3cd732:Df5OWizkOh4AFkOg3QLyAOdrrHr8gQvw	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	180.217.162.184
2018-04-30 10:22:21	e5a97ffc2f8c0abd121a5e5f1017cf8b:Y6KnBJimQqceoFyFB59Pvvyc3CnPH6HI	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:22:49	7d99f55e57ec945cd772f8db0f400fa9:cJ4fcMgaEnrOSfFmNxswKrClJSVOMQQf	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.108.228
2018-04-30 10:22:59	f3c6f5a9fa14e3fb090f7d5ad71c7eaa:PWemH4sUrr8TEjDFIGPbEebuOPv7e1nC	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:23:01	035fd1db4689ec2bdf959e0d744977d4:yY0Y0o5as1Nr2X2FqI6U9Ip5f199cDWz	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	180.217.162.184
2018-04-30 10:23:14	07f8b83cefb2499eb0ebc35a39def47f:NwXplLsthvZLpqRqXZSoj3sgGMobuHtz	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-30 10:23:25	e2404e2c6331ead5ab21c7858e46ecbb:a4y5RObuvAtBmUcTJ8POfMJyXVTxNVCG	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:23:53	c20b04edd92d59442958068e78b6c07b:tnkfjOkHmTSRs9DExqKrFH62nvx7hOJc	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:24:29	c4a4d7b7b54bd4154af6ae862cc834e0:S24Tw6gs41v9NZ9ikXWU5g1XFDEO8JgO	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	180.217.162.184
2018-04-30 10:24:32	479a8a08333551bb620ca3a974f0a733:w3AR8Ve93m2eGKnBUKQiuyV3Bd1GsjBm	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:25:07	9be6afe0489af1d1ef15557c6d7186a8:yDn9APkv93B5M2VeVo4w9DuzEdk43A0q	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:25:26	ec349cecd2871c2d4d6df23fee5d2ff1:GisJhtomYU79HcqhmTjHtmqc1qbAO57A	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-30 10:25:33	3242a2a5638630396bd7eaf8e531a224:yhVBNnr7MYBQkix1GLhYBlFq6MXNJm6L	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:26:06	c03dc3329bed4ac6ca39ba1bde686948:xbnHbkRGUBJCrpXcIYb1xgvS7ZINaxps	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	180.217.162.184
2018-04-30 10:26:07	1512214502a5ae66c0e2320ca54e5f73:PstzBI9TTBMNPq9bL3Q7DPvrNfpGYp8u	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:26:07	735eb698e0af481e418c523fd2acb056:jNegzPhswJlWJ8cMdaoFAopvjyFNN83s	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-30 10:26:30	46d81dfc33371f1ddcc1ed6f4c786cf2:lYkwuXTYiHLb5rqeWqLigawt8wT6rbTp	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:26:51	29c79b212506469f8c12b3e51e3b23be:OZ7YLG3Rz648beau74DqzeGBGLGPPd79	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	180.217.162.184
2018-04-30 10:26:56	a3997f9a7a934dc3fc9263921bdd98c7:fUWje4HXNrhjQbfaO6ludJUMNiP9bjr7	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:27:26	e6ad851b73c9134606560397e4bb47da:H9sshsLj8ZMBmd78ya4sfItuBW1mhFp0	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:27:43	43c5c2a61f61dba063b0dbc389d63788:5aUkfW9tX6MJGTfZEkfCwCXeILDkqnHT	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	180.217.162.184
2018-04-30 10:27:47	75cd68da483cef4af6ee34010ec1d470:5DYqxGJfYqD2XZNXrY2Veppocx58Kd1C	Q1:閃亮文山．越夜越美麗	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	1.167.48.231
2018-04-30 10:27:58	6a86983c8640091083d221798a2c1ef0:h0xzB0CQPF3FWzlAO8Q0a2ZSbSB7OZZr	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:28:25	9bb536695c82bf926cadcebfc6230bfd:0NXHqJUA0swpssEJ71mYsZujj7Jb23AT	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:28:27	aa24ea30688aaa41bf57273c3660677c:8vmfISM5Y0HEiBarAUONPnoMSeoBd3XW	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	180.217.162.184
2018-04-30 10:28:53	c34cd77d0162006be9a18a149d7e7361:DpMSdQbMZIhoxdY4hfVD2oqzB4V6qD3P	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:29:27	9203af5aab4c95f76ab0a76c25868923:TcsFtc8ovvBvu3hKGVYcnVyE2fw7GIZ5	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:29:34	213b4ec50ef1e4f67952baead003071d:ozFhqrF1JNZ0haGDLJ929MwKl4BcPQee	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	172.29.144.207
2018-04-30 10:29:49	2193767486f4e4c3fd07241038c95401:oMalLoqrXU1TOo1KGTSSleRKI3B5Qsk1	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	180.217.162.184
2018-04-30 10:29:53	ea01c0b7018201903a1350aa034c27ec:mZk1nKkxw8dE8cdlAEluCkGLdVjN9Kkv	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:30:24	22b62a31fd7d187660165ced2a9f5e19:EtvBtQ0dj8sudRoLvOzIDgvmnyIGxMmQ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:30:39	f7b8dd5b6b028424f00cde4c124c74c8:3aaf6gD24mVSQet9fThGQJEYPX7fHqy5	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	180.217.162.184
2018-04-30 10:30:48	336cc55ad8d4010e989b76db289c4645:ypmNgI111W7g39bUL5q5UGADHgyeaxYn	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:31:10	c81cf26e2c8426d3493a5f1390bbb48f:C9WpAfAzpZQQmtFNa1sxosB25nJAy9de	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:31:14	41897b72bb860b8c246e54dac0725515:3OImyCrL2M0Yy5MDw8pCmywTATaDoeJx	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-30 10:31:38	8e7246675db4af43d9523534818ad073:j9q5Apt3tEXyPXvcDgHhJ4537Gq0m0ye	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:31:56	75fd9e01d54facd6235a5891673cb8e0:juPOBZMUOW0FcTuyR9CZD7MZ35jSKOXu	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-30 10:32:05	d45ddf84452753366ff597b8d35d2b45:4HOSAki3PEHIy8H5biwSHJUtw6I1TbN2	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:32:12	e7d6dff61d84f8951655a599e15887fe:Sy1Og9GzWwonJVGcFuRbMZ6EuksOXCs6	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-30 10:32:38	1719ddbd0ca772017165a93e4bac6721:b90FoygU77tSah3FgL7RDxkAjIM7MqbM	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:33:02	0d4fbc4dfd9b7af6254df1e902ebc44a:5WyxHZ03NbXyAkJSgOiFJO73E8RV0i9U	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:33:05	baf282433eb791f8b1b31d75c4ff3268:zHVTb5V24a9bp3gtlqj45AVZTfBT8emP	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-30 10:33:21	d19195439a5c6d1b17c9c85674ddb8d4:ITnk8lucSrk4PlGMqPDARPYO86FZBgxt	Q1:綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	60.250.83.74
2018-04-30 10:33:40	c642a0d1d976722d656bad4068acd046:hWwKsU6czlaBj0mMNEFIZ1SfZnJ2Z4ID	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	180.217.162.184
2018-04-30 10:33:44	3bd6cd91102c52ba215b30a4a8e4c5c4:MisKoiZqjARn6BqRqBOG3fS3QdYpLWPt	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:34:19	f1b7610da2345a7a0f7535e800f917f2:njJsSVXzUy59rPQol8I7QGh8YPfKq2Z8	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	180.217.162.184
2018-04-30 10:34:43	0e2eab8b38b943ca3a8800277e7a25d4:y5OhGgnmR4hBUv9TAvgaJK45NpdB6qJI	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-30 10:34:51	eb454bd2268ff90ceb26bef32dbb3c86:RljKC8xnPAfPGoaLUH16hpYWTfOBcUHo	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:35:08	aa81a17b4e488a889d8d6a4a65e2a4ed:AWsqfiy6PVpfD8n7vEao95dgEY83mqQJ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	180.217.162.184
2018-04-30 10:36:15	fcd7f6d4f0e1b7f7583dee190b03fa34:SQWZOuD4rptVaa6wIe1U1IDiwaG0ldSv	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:37:00	f1181512d0d2b062a389c4bf25c1f691:vBLt2ZxXOJm3789UngAg8Ut2aIkLBDPc	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	180.217.162.184
2018-04-30 10:37:25	69faa4397bdff2a2eced2760fc7b3606:Obd2MqnV0q3BcP27Bd1MdU8Qe61REnKk	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.215
2018-04-30 10:37:54	1030d285dceaec24417a4797f428bff7:wKySc97ZDHCncuGT1vwgGJutM1qQKwmk	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	180.217.162.184
2018-04-30 10:38:01	94b28c33f6b8f8ae6a9c46c84b9fd5a8:YyCf0LvcVzeauOSkqQxgnLwnVqtcISWs	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:38:34	6dfcd511bba477b9ae4e1ce8ac0cc581:1o8hbbg0Z5APjbcfw8c0GDJlAHiwM4Oy	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 10:38:54	241ac221cd62be7d98e6a5ae74d048c7:BOUbUfp8ZhPY6o4RciLNQ8Xt9LWSqCuP	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	180.217.162.184
