2018-04-24 04:48:31	111f4d6b06aa32399e3bc7008bdf6901:q3IzcyOgvhgzSOVbsHe94Qdf8gErc3NS	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	36.225.94.51
2018-04-24 10:37:49	467750c3f6831a46d81542e901a54507:k2giCuwUDOAZO0emYtFhPmaVtaTmYF6G	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 10:38:41	b1906823b266cac8ee78cd62625fda09:2CiF5YfG7KeSQGdjiVkBIM3NVpLFKb2r	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 10:38:42	a124c072b1cd3c053cae8bdb902ec2a4:rixI358YyUVDiJE52Ipnwhp3bc7aouxU	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.59
2018-04-24 10:38:47	66862332e06f934e8c302ef1e00592ec:cpbjXQthyMbQstbiEcpM08PZjXgUhZkQ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 10:39:02	18fe8ee4f7277322f049781ec67e7dad:YzJVF9CKZUZjadaeZFgXxVnudDwIEZue	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	117.56.49.122
2018-04-24 10:39:45	d5e3e9c4f60fd1b47bc392ab573c7a10:HISMzTeg6JAswepHX3YaLMamVjpK9GaX	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 10:40:25	e6580307d24b8b9de8763628da0ffecf:48IicfdM5us4IzZjkv3igDO6gDEYyJ7f	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 10:40:54	dd17fb683f21a9c939416273caf0e276:ybSbs693MOqXh0daUSTIbewUQAXnnzOJ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.59
2018-04-24 10:41:13	dd08c86a148b1b873054c07c907f716c:AlK18jMUnCIRXGTb8DBlJloOX9IFuB0C	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.136.44.62
2018-04-24 10:41:35	622d4acd75191f813636bd56c2195a89:oAoqY2MOiUx4w0FdCyvXljGMVrR8kx3S	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.79
2018-04-24 10:41:59	d6c727c6733061c3179e7589be094075:O4JuiK3ANk7zCuAqMQiHorh5KgtbN5iF	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.206
2018-04-24 10:42:22	60f7d841c06c4c42fb6bbcfed0327784:jG5M9tF9qakjwlJ9ZuyFNL1XyTd63Fsl	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 10:42:28	333ef949fbdd0f94e29342ebd70bac3b:dDJMTcjwgnkS6Mj8HWUVmtfuCNlXzkyM	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 10:43:21	6223d59f5f7ca4423b5f8b04e1e7e6ce:JErhZBI3VGEQnyElPqTDFnrIvpewHDqd	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 10:43:39	f56d2e25e02e998893142893b0fb0feb:Op128hNSGja7qllKkwVCvfGIqbgDMF3r	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.206
2018-04-24 10:44:24	2c6227af69c85d7838005b73ceae03fd:9xYvXStHJAv4PtcvBY4dyAhbUKdg60w3	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 10:44:27	4fc9570e18f06b9c569a3b90230d77e4:CuDKd6aziPQnHzh5P5MsNyAmyN7e6XRf	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.79
2018-04-24 10:44:45	d5b9c4906057dc6063193cb2dec3bb5b:xI54WNhsqqU2VhcfgCsnOO926JBRJQ74	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 10:44:58	45e5e3b51e696117582f34df4e878d0b:JLiaGtUgupAVoAuClreyCjwTtJPzLX3Y	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.18.97.231
2018-04-24 10:45:41	e88ec495812a235efea14436f8b3488c:A0VhnTpbcnazhf17wOQoB6RVDI8WQN7R	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 10:45:46	be7a69418c4f4575508fa69e1cbac329:ucXc45Y4QS9ZyAfX28KO9IoThbapdYkL	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.206
2018-04-24 10:46:03	40390044c6ed35496aa7c1b1f7876285:p5P1WB6z2gsDYaqIyTOTCfmIJiCrjZVS	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 10:47:28	81f240ce15c06bc9cb22f2acca7d8d5c:hR08LYvLIFVslbQDWlcQlIjvrWqDKOfI	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 10:47:33	7ac93ebb8487a61b6c292b5e34707daa:whnbIY8FiMWqqttj56jMVrCQ7dCvb33U	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.206
2018-04-24 10:47:42	dccd6915b9be6432e3dec2c8fb784931:HRZXqQGhjDPcw4kPfaxH01VWT6KJ5bFL	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 10:48:51	3d120f96296b9bcd7c564f474ef15acc:zBRzufCkt7IW0Gw6JlcpwdO1AyXPyXgC	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 10:49:04	16602fe19240bb43063483be7e8e7886:xiM9CIJrUeXz90qQzQGkJBRxrHTGcHzI	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.79
2018-04-24 10:49:18	1602c3ce2f0f864e88c977fd4b7ceee9:q3pT3zeSbvla4iadenNBd6jLrvHPmhN5	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 10:49:36	0e6986131751e688256620bf97b2b92a:6aVVuIm95wEyeRt02Y2JGlrBKp7M7tC6	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.206
2018-04-24 10:50:08	a9370bc7e0a0266b85acaa5f8ed3ed5f:a9WdKZv5T0KquRgadzCCKObGCDoNBkJF	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 10:50:12	9489dc73311a5e1de8bb301d45c85ef3:Wt55cjlpFyabxIkZ9tLtvCEl7rmLN4O0	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 10:51:04	24e60936c7ea95c625714c5279f00566:FrU2UvQvI9U5b8lH1Z488eUna2VgHpOZ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 10:51:18	d4eae1aadb0314d119245bf875569682:xXXNN3pvqM3bpr97UBWysVnTN4Ujfg9k	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.206
2018-04-24 10:52:13	95ae4404079c1c9a2d346ad032b640b3:7JBinY2n6J0oruRbzQDdTztY3EI09FZL	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 10:53:06	d9b1ecb22dd3cc28b63967a6c8f032e0:SlkvxZT1SIgg9fUPcFMhAKDkBN5t9NQS	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	117.56.223.223
2018-04-24 10:53:22	df9322a0dd60c9cf1e7bf4e3b6e168ca:xAzdPiSle16H3n4RyRRrNrEeKKzmG8Jw	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 10:53:46	653f8a8f514b6e00187d1c823c933be7:lrdrDwAlSNv02AGQu6ASiaT0uVfw1lA5	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 10:54:28	312bdc8726512a94de14b5c93d2577d7:h6SpN61ljYjnBKGcQFCvx3QpBcft4299	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 10:55:08	721ca72e96df8216bf0e271ede820e8c:DOso2EOE7gcZ8NF7MjS21dYhWOE3fjar	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 10:55:20	912995f064d4d5620f76fed1e604b827:YM4QlGMnm8xHDnsns9jt2VI64HznbpqL	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 10:55:33	a87dc276e8692cc2ce2a5e4809675eae:Arw4CBHnuETrDAteynXazi2miIZqFkrf	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 10:56:25	1fb66e533d87eccdf49d76e1681bde48:5l6IIuTeWnF7jQXRekQjQHQapCVHIQE0	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 10:56:33	d4c4f02067cc6403d0611786d0fead46:xmREg5U6JAXPHaVayrcr1P7iacksTDwC	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 10:57:16	f0a030f1d13b6f59943d404e6ea29fa2:XoW54kiWFwGyvqUiHGsWBmGAZil3H0NW	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 10:57:25	5d74d6703461cb3ef58ace1923299c44:r3bzdee2Plev14lqm8HnnH27LgB0tKCC	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.136.44.62
2018-04-24 10:57:54	a71d2b6764706f940f1cf9a4db85c032:u3PdJxdnphBjXKPsLjnVYVRtlzAVhhwg	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 10:59:09	6e8013bb10a4ef71d471a57d5fce1a86:t77elt30hn2oV1S8CbwBeas3rxRafBdU	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.136.44.62
2018-04-24 10:59:26	30b5e72bbd24266a0eb2809992264745:yIAMSV6T7LZuC8XXgQso15dnVvxgWVYQ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 10:59:36	71862984678ca89a03a372eeaa954042:rtvO0WZJmEOLTRLEY2Q0D7WBStx6FaC6	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 11:01:21	8ed4247ec03fecc33917df2cbaaf3c78:OnZVBFqw79gmYkjIfNTpMQcKhTYpwNqo	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 11:01:40	b86b49fdc4b105978d9829e5cf907016:3Ck8tGD6RlvWDSKjtrHbbdYI2EdqTTX8	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 11:02:36	e73953292e29fb7cdbc1bee00a093fd9:RBzKpGvAq3XnqZBPcDySmhvc3tPW9BEx	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 11:06:06	3f290a9f85bc5b7b0e5d838b3840c2c8:QXS4TGSx9myxjVjgtzCNUv9Wl1yGsSuA	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 11:06:41	28cea479d60cdfb17d65649f67762a0a:okFzDdHRL81PshM7TFuIAtijse9jJYtM	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 11:06:56	cf6e10e01e643df5106389661ba9ba33:EcUWKpfquVS4uwnbwniQFz9l5jTDAjR3	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 11:07:48	8a77b08e22ac8b61f7dcedc35a47b25a:bJv96dyv4Qv26UHGQoZ4BDTAzG1Fyu37	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 11:07:57	e3fd7b6e5b362a28d2e43aa992c29eea:HFwhIFjqY1gSBH2LUkQuFk1e6mkjqpCD	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 11:08:54	ac430fdd9e698b42c5a4f60e7e78ee5b:H28gvwmt3z8bEGVdDh4DT4UZLRHZMXzM	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 11:09:02	291985930d2a80ab56c2cbb5ad968c23:MRpp02KPjCcihzOjgZuJJhXyu4GcFIAC	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 11:10:10	03495b6a2192e47e9ad67d2cd5fdc259:w4bfox2z6g60GSrPC5dkui6FfnzoISrR	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 11:10:22	b5dd68338f57e9616776a509fc247007:9MdHfVEZeMu3MYIHqzKOnpAY7hmuWMwS	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 11:11:54	a2439194f8d6da3ddc450ecde27792b2:qb9cNGWb3ocWd89rWfef3bSwTckVpiNX	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 11:12:43	19e9f8ece988cc0cbc8d7c697ff718b8:PTLXJVHhNwUqnLLJ4P4zr26jOfhJLTej	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 11:12:45	011bd19ef5f8e962e41739465871e2c4:Z49rWGribyzmvKssqPcAljOLwiR6aDSm	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 11:13:18	46d67bdee89310cfceaeaebf278bb342:M9su5qRCrdfWEAL4EUpwQvQyTCLdSfIz	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 11:13:39	5c9d36def0ef346ad632a60f76a6288a:D9pMfrTc0sC9LHNGkFhAjqZ05HdwrGOW	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 11:13:41	89ad91138a0eba922597cd8664bce0bb:FjbvMOa3OXPmbMQ7aVMTBBDUMExaeQO7	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 11:15:17	ba2f345e4b484c4fbfb7f5d185252361:f2ulBP96bg8491XhAYOsHy3HNNAbmQWG	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 11:15:22	99c3b6d6c01b81f9957ba305663b73d6:LeRX45HaTLtogfS1fik48OsZWk078tLs	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 11:16:15	18f2d3ce8d3dcb8534f9a4d94a385bdb:m0aLJ6AQybZMPDJZT9XfJXlenTwxVZXz	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 11:16:21	249e44511358e218b7ebff51b733d6bc:BB3LTLJ9y3TGp90bH6omeeCm5LekLLhz	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 11:16:50	8f305d758cbe8536f50bc215095f8b61:KhUR8kdgARyZo5jPq0zWRlbFUi869Fx2	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 11:17:00	c5811184d14aad13176fde820816755b:QekLJQ16nuFQ3DeotaaXxoq2AdJNhgkX	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.136.44.62
2018-04-24 11:17:20	4e6fd01ad893011ba636852277077582:TLyHtfMKWgP077d2enju4OOyJC0EOWFN	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 11:17:25	bb342bb1ec3520b0ae4cf0de7599fcaa:0b1o7NvJoTffIL1gjOIwCZWNBsxQW4zJ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 11:18:10	46fb1a4b3b3abb4734f5cb3bc921b592:N950Ie3vyJkaBnS4IWEP0aGRXYHHolu6	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 11:18:15	5b5a9c31df2b56594af85481b2a781f7:0NhikbxrNZD6EektSpTToFHuQHufmtbi	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 11:19:11	c77000eac56c81466b79cc1073b93b85:BHWzwMmP79IxMF02nzzIzmQbcfyoPDog	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 11:19:52	14e0b2de69b385e134005dfa3c60c642:cnAWWKMJ8gYvE4OFFa8dyXyheZjE1JqQ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 11:20:11	161325c1d1bc0f263bf4bc76534c822e:BLEmgwEnbpZBGwQzY0iOzTYn03fr6ZgV	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.136.44.62
2018-04-24 11:20:19	34dcf213f004233c85af2e0fbb63338d:6SisvillIGou58vjUzWuiiuJI3egZ2j4	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.86
2018-04-24 11:21:12	e785270bf132e0c4ce63e1faa3db9ff4:80VqQbAPpkpjBg7gDApte7rECTA5TIjn	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 11:22:40	9be5041fedf7c769bba0143b127dae10:lJBAMAT05PzxrVKo9NQire0KdfcNNcXx	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 11:24:31	3e3ca5b978fa3d2cf5bc690cac5d8441:MT80ursxcwRGcOBbuKaEvMSMZ1n7j42o	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 11:26:25	24f78b0419cb779542b7322311b3f84e:PCdGHV0TFDNi2muI3rFcdtoopWtxNdr5	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 11:27:49	5711c7effc38b7c9afd6a12f68200065:jE2tY7E5bqzluRyf3HEKPD0J4Cl27m9f	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 11:29:10	8bfdb0e1464d6be3752f7b47a7bcd1d0:Owj9Jj2tZHtla9W7UQ8IzGiGPVL6qNXs	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 11:30:31	cc914d05345a82d624f67a9ee45786b6:066MpwzdHkLcvRiQ1vKr7TE6JfnLqn42	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 11:31:56	1414b6d96281a07562ba4a09284674a1:38EJOQSfTJrUjAL172CLs3lgq0oNYL3i	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 11:33:06	af45507a027ef56d2c8d80031211d8cf:35cMppvt9M9dHvBuGJchOlDUTUf0rv6r	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 11:34:26	2a308e1adb4d2fb8add9e1b3177ad90f:8VZJIGOBbM2ZHy01lMYOedP13o4sZZ5a	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 11:35:44	0b9fb5df2eb3fd6734a71c2f20d29756:f1VvOnnhgLGdx5lsu07G9RLP9f6OysGQ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.48
2018-04-24 11:35:48	9cdb62a572df363c128532fcc57fac24:mMXKErsydttCMcfi8DDGUfVVr1JIGUL1	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.1.50
