2018-04-24 01:09:51	5c02862c07b2f7f2ac37f9c03e02f9be:Xh01r8Hndx4A6rIAx3iRkM4RuBSyTXyc	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	115.82.194.99
2018-04-24 10:51:09	e58895c7908d229ff5ede3abffb458f7:6sMBt0zPDNcSnzcYCHvO8CYHMk7qcWVZ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-24 10:52:28	a354c3b02aea29b0bdefba795fabdd5c:iy2gkrKSnbpPAi3Sqh6fVyRihQrxSIn5	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
2018-04-24 10:54:20	8000de24ca9b4023b2960f303939efba:sMYLU80Cg5DtxcuxEozI77mGUorvO01O	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
2018-04-24 10:54:45	c4c57aae92964ae953ff965a7fe4b47b:5NStcauO2mUqfB9lVBkdTBGiDJMiuFvT	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.45.37
2018-04-24 10:55:43	7085dff636371c2d08afe69723c05b80:2EkVoQ76iEg1byqagfpecACUFXfje3ma	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-24 10:56:41	d5c760b6e2d94b6d4ddcf921ad98430c:S0Th9mwtumkshLwAlywcne2VHKRzcw1c	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
2018-04-24 10:58:14	0ce9d9670defd707fa36c78d28018cdd:OE4Qsy1tEeChxh75j9nzZGWKB2SbH94d	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
2018-04-24 11:00:27	af1a6f2a3da32a0fb17ef474bf87e237:96P07Z5sjp1RZhYlZMlWJXV7uRkE6yFS	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
2018-04-24 11:02:38	f7664c5d9c0f8c72659181efaf0fa15d:P1WT4zBR5R3MBTD49hmb9v8V2K6JgXFG	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
2018-04-24 11:04:23	29deeee889312a2ad7f3dec1508dbd45:83wSt59ARXgWisdSJwmli5nyPTnGoEDn	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
2018-04-24 11:05:37	506ce00b077c5562aa3f9ac017b54708:9byHHzee0cr3INfrMNeiPQ0ABhzTZbQz	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	42.70.104.41
2018-04-24 11:06:19	33fe36be454ded12f7133a0dc7b7772d:Fd8rKQrH9GohkRnoeHSdrXVpYlvNBLd2	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
2018-04-24 11:08:11	9f84a36c139d12342c4d5917ae42621a:Kz4crxCSfPBHo0EbYXS3Z8FvTFqXHOxA	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
2018-04-24 11:12:13	81d29ce6e157a8e05f22f4518eeba5e4:OxQ14T8Ywn15dtqzEht9uldldfHcd9e7	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
2018-04-24 11:13:42	228d8d62b1845fe60587d18718b7f2ec:MfPtahaMqMJAiRbIDx2DfH9g5Bb4tKo4	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
2018-04-24 11:14:08	8eace20527902634abdeb8e5716eaca5:TzyTMtRWK22xKIiHLbnUWiSYG8WONdqE	Q1:綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.140.45.37
2018-04-24 11:15:27	194413a8b75d8a0a5b8341db649082a8:YGmxiSOStRLVk9Y5dOxcF34voETEi46T	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
2018-04-24 11:18:17	f9b62135d233a35ba266b6b65de0b7ef:kfEvTM0omkF3xtCXE2DXqAX09nFcyTQJ	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
2018-04-24 11:20:28	6ca953d8f69e5330353691f8505c8879:0OX6yEKEBMahp2uUrhYFLPrrzeR2CcEH	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
2018-04-24 11:24:45	ad3cd8fb9870cb3cc5ff4037b32d6d1b:eJuvQV7mSXU6SxlEJxbGGCt5AucEhUH7	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,;	223.140.45.37
2018-04-24 11:25:18	e15a2c69f17f12f0560d21adca6f6c30:UhsEVuPO0TSZkACD63DA5TfPLRlIA0M8	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
2018-04-24 11:27:12	2415e85413a2cd3d88dd75f971dad5e2:ynRWOt9iqC3W0hNq3m8SsTZznJKy6LXt	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
2018-04-24 11:29:04	476cfe09a7be5bcebdd1ad87804cfe14:peN1pcuXk5t9WpM37k5ljwbW14jWFL6J	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.128.95
2018-04-24 11:33:26	6ccc1fc1089f58219893181ebc68912e:vUEwTwAexWAiwNzVnIDegkdXR8qtp31h	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.200.198.106
2018-04-24 11:34:51	f04c20d2d6b0b2b3bd10d048b2913a40:wxGkndjHoXSDeydjoI3HyQocpQLNDvzq	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.188
2018-04-24 11:42:21	eea5f23eef51d2d434feec02fe2dfc9b:B5dg0OviPDeg2vFBa4kq2JxLc2GVZpzB	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,興豐熊讚親子主題公園改造計畫	,;	163.21.28.253
2018-04-24 11:47:44	be8dec47c30783565a33f042e7302692:whVD1Nh2sp2vWCb8k3XDalVoc5qO0MQu	Q1:呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.140.45.37
2018-04-24 11:48:09	6f8637de9c1f5d9d85a816487e4b8890:BidQvtGyyDODWgbW6OFZ6aVtYXIiogpH	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	180.217.81.80
2018-04-24 11:53:06	f169d0fab7014afee66af658ef46be0c:pNNWCYalCU5BgjWnFO3HQe4SfMDShVU5	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	223.137.218.67
2018-04-24 11:53:07	031ecd836e4aad8014d09fc47f53c2d0:bGUHOa6SEOFVDBNMcOQzDvzoKxwQdoYx	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	27.247.73.122
2018-04-24 11:59:25	c68028e5b60a52bc85df7305945780e0:7RYmJfoL9PpoEELYiPZhqgeIsF1WgNpJ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	172.29.144.201
2018-04-24 12:01:48	6eb4c513911a5887a19ef3ecbf2f9bce:m6UrwV0UDKLOEGHCFt5GL8HtLzYsuxf5	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.201
2018-04-24 12:03:19	e63803335def97f992d75695367cc0ae:UEweDGUxAc0oQ2hZDXyouFCZ4ChbN8dJ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.201
2018-04-24 12:05:03	be466664e0591e87ed0b261cc56c05f4:mPzLbHoZFbJQDVSjFjZJbkf1gj8UTcYO	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.201
2018-04-24 12:06:25	8267f3de3f7aef57acf6b5ee340f7c70:2ag1i52x2lELbQIynKtpKjnEExP36bzl	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.201
2018-04-24 12:07:43	45c7ed8c689000fc82def5aec3131f48:1KlR5pS2FanmvDZ9O9NAXqhtblMqAcXf	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.201
2018-04-24 12:09:08	7106c652487eb95c9d67947179b93ae6:xDiXdUsMQWeVh1weljvCQUc8uuprO6Ip	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.201
2018-04-24 12:10:30	018861027c98c583a1816f2e6e35e5f9:7LZ480Gt9IoyV2HmRLiopXhiTYGDkOqL	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.201
2018-04-24 12:22:16	6f9f260b0d642608ead0f64a8e7f6d19:KsqvgD1wJKfh5bzLrzh9wX2TjAOzIEjh	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	163.21.13.33
2018-04-24 12:47:38	ecaad734382953d83457e6f4fc51b33e:8kyCbhd7ywcrglnuvWZ9S6nyGG60Z2dN	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-24 12:54:11	4ff15328b8d60c8d1c47dff89aa76255:5J73h6HNXje3khVYZ5PWfZWTg09JZvAH	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-24 12:56:59	4e211f4e13828e35eec507b7ac323064:T2KqDITBDVtF8cHTQmGMQb6IvkX0gPzI	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-24 13:00:20	4308b6f00eb1e9245820922e9f90ce97:UHf2KEdfPDTmN60APTCMXcRAhhLcfHRN	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-24 13:03:37	04b7f9ec697f63951d1476c26d75bf91:8LlyMlINiPOTEtqlETVYwaK9BqI9qoZp	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-24 13:06:51	562fb4554f69927ef657f8e19de7e681:avcMMrwu4dH6s29RKjGsfr4I1LhJwnI4	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	36.227.138.232
2018-04-24 13:12:25	29357922a09ac603e2bc02cc9b0b207e:gYrkTVWlpWlkatftOsCQMuVKqc8VGjlH	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.140.45.37
2018-04-24 13:17:28	190b4576d817ea8e3c5c6ed8a60555ab:8HN4N9wwNegq7zgZhVEwtRS7pYglWhI8	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.140.45.37
2018-04-24 13:19:28	64d2a4012a4b2bb92a1976049952c78e:TPN2OI4WJwZZxJ20ATaMIrR1BV39OiMa	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.45.37
2018-04-24 13:35:31	f3b342667987f48784cfe22ab00a4012:W37nz6WVEGYILhnKyrFzmmySY6BqhEah	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-24 13:41:22	35ca8157d1eff161bda6dfb56c94186f:IGhuEQj9IzCjrETewpyLYWQu5VMD0KFh	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.233.155.135
2018-04-24 13:43:31	53f47256c020ab7e61a2957388057d54:LtS5rrqWtklUOzo1QrHvOE2FPkDLoOVl	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.233.155.135
2018-04-24 13:43:49	c5ad45abd388481c528985a1076431f7:S97rcnnPEnoAJP0sK6efUnjv9CZ6uxmL	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	117.19.243.216
2018-04-24 13:46:52	30237612caf5551798b12fbbe8e4d118:l7N9DqRhudc6ZnezpVTyx34bJcDqvUuk	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.233.155.135
2018-04-24 13:48:26	fe3ca2b385fb662b385294de4f7d4e04:VX5Xdnb2SPSdHKt4r7nIvDQ2WKHbvgOq	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.233.155.135
2018-04-24 13:50:31	4a37f3a4e10d075b859aac9b341fcd9e:NTV1srh3Zv0m0OmBfpXLc1rczpriQHtl	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.105
2018-04-24 13:51:03	1936f99e6c521ef8472f7db1c566391e:CKgqusBnOQCsJgajkR4vW6TArBacSRqp	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.233.155.135
2018-04-24 13:51:43	43a84dee13b5d1f08003a4eba9d3b7f8:ekEgj3w7bMQqBaXagE3r8XkrQPhjchcb	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.204
2018-04-24 13:53:07	7b18935fcf59beb1bb116e7bafe6fb90:8kcNGokcZPJjr20gyp8QS76LOIcqlwSH	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.105
2018-04-24 13:55:00	035697a91a23e555be68b2ab5516e02e:GWsuhyg0WAtf5QywjK1uXZjueF1d6ugC	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.105
2018-04-24 13:56:03	bfe9a0664059879134046764a4546e98:5N42ap3zl8EHSNoJnhEDdyZaXoTnDINP	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.105
2018-04-24 13:57:57	6323967080f11ab7c8ac2f5bdb78d939:24zVPud4fTs0iC1ozbqBDDHdNGom3TMm	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.105
2018-04-24 13:58:45	32be1133d7b9041f872fded3cb54a1a2:3F2AykqeKtZHkEIFQBgqqEskBwvmqdmi	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	223.136.83.92
2018-04-24 14:07:50	d04439603c3ad4bfbcead3e714f48021:o61SEuxWObvK1ekVQRNAhhyWSUVzd7V0	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,興豐熊讚親子主題公園改造計畫	,;	111.71.120.232
2018-04-24 14:09:28	a274812ff9bbc25eabef5804ea692f2a:fj7SIeIQ9kxuiqvuaJaganOSFeA5emmi	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.233.155.135
2018-04-24 14:11:46	0ff717778171efbcc4b67876186b70f0:0G4JWXSOSXPVTHoczHbne4P9nPObt63d	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.204
2018-04-24 14:12:27	5e9724db7f909bca571b7a2afa89384a:pgEfXquRZ8Lvfd2ZsYihp8VaMzfHkHNm	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	118.233.155.135
2018-04-24 14:13:46	0101bf03f0df910481ce01c0889095d5:OI2hRqwgzGEDt5D4Cy8wn0Bsny5h4YKU	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	118.233.155.135
2018-04-24 14:25:44	4760bf1d74183f5c465642a9c9bd3b2b:nJK3HGfJ5ANUX4PUIEwVkWBXe4Jsmwrf	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.204
2018-04-24 14:31:35	f08811aa7c328926717ffe6a95b15c30:UMLGqBn1VvKfjgA5p3dSPSd12Kw2bNtr	Q1:閃亮文山．越夜越美麗	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	172.29.147.132
2018-04-24 14:34:17	98527a0392a07bb63a8204c0fa1d3b73:FwpZvwB9fxKQ6qJ7JkunaOvgwmxaYbyo	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-24 14:34:52	9e17422a6ddb5687756afe360a6e52ec:9Kra2mjFqP6L6YVKoi9ikYITVKz4qe6k	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	10.72.21.130
2018-04-24 14:39:43	c9ca484ab6497c5a09db2139328077b5:Gm7gsDRemb89eOb6nfrJpnzrvXKAYrar	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.140.45.37
2018-04-24 14:47:39	bbf6ffe19741bea63eb6cf34e18fa022:wSbN8VHcnyYHARDEcIvyRDiyLBe77L1q	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.204
2018-04-24 14:48:04	1c7c3a67cac6067fcce9ad0c75942dcd:t1Hqsv9zCJMyIHlOWN8dgtXfeuRrfBdU	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-24 14:51:27	79b45ae8082941cb09644174343f97e9:ljJG08EosUbiqynjLgg5WN0CplFzSD6c	Q1:綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.30.218.57
2018-04-24 15:02:51	af18cc8f0eddaf2a7183341ed0479d1e:nQZx72K10EVgfRKzgiljFl95aKVnvs1l	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	117.19.210.20
2018-04-24 15:03:54	25d6281eb92fc6398a6ca2c6cf325a02:MV86WKbiorN6tqFvtm4bsymyP8N8CvHR	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	220.128.221.198
2018-04-24 15:05:11	a016c57a8ec556205cb7d121fb0fd205:L9SmPGJNPbtiBLrVM6cl5GTa5Ahsu3H5	Q1:呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.30.218.57
2018-04-24 15:06:21	81e8ab6a7ed1658897b1f8b6b6e59d06:SWDKhahXHmshENr9FcZ29IPt6J6aG4v6	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-24 15:09:44	6ec98a10039fe4e22076e396e36f0cb7:LIbAN057z1sUqIaE9N78OpAJQCdN4UGH	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-24 15:10:41	ca85b0ca6714529de39cea994181a6ec:NNkq3rQvWZaPbtFW0ND3NqDgR9dQmwuX	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-24 15:10:59	c75d724788200c710f84dc8451cbd571:TYtvHl7QWyHfKJ0STd0V802QS9mZOXYv	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.204
